seq,score_version,cohort_name,subregion,run_id,cluster_index,cluster_id,medoid_ring_id,leg_distance_ly,staging_required,size_n,p90_ly,centroid_rho
1,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,5,34cc69679bc1e8586249f7ef78140b8b5699ceb0,b1acb7546f45e5472dbbfc78c62bc2e4099fcd13,3102.428651,false,3,2213.598199,39609.419205
2,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,faa00b5bcbcc02f863f24354c129cb401ad0388d,12914.521315,true,30,4838.587343,25812.513606
3,moi_v1,IcyCore,E-inner,2be414597e16938becdaa9f22459fff68373da68,1,6cbb2130c6c1d0859871e36190668f40db76a2bd,161fe4f84d112ecc5374862e765988ec83069cc7,3129.696570,false,30,3432.844871,25595.562296
4,moi_v1,IcyCore,S-inner,f05b7fcea2fc08604b2b1c033b66d722443e8202,2,b626e8ad1540ac141203b570955f81c5b43a787d,82f41a9b8223577f85238c5f00b6676398084f96,3845.070681,false,38,4062.551501,22878.210825
5,moi_v1,IcyCore,S-inner,f05b7fcea2fc08604b2b1c033b66d722443e8202,1,be670c0c22cc3e18cf02d7d064acaf8c7f05c168,28e9115348b732f7c2291de9fe4e69397ffc486d,7836.826248,false,55,5203.145238,15508.406146
6,moi_v1,IcyCore,S-mid,298fb48797a0a2a2c0980d1cc688c832640e89f0,1,c011f6de14b140b50debc264638115e1ab5dd98f,42e8e889f05175cffd549582812d7c036f6ff3ac,11172.465773,true,83,3717.675422,5100.091468
7,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,1,5f6c8027795612b7f69872aa4833f79cd0d254a6,3813d6a8d15a02fafa283f7b8bf618659903473f,4826.616026,false,116,4681.623912,781.129738
8,moi_v1,IcyCore,S-mid,298fb48797a0a2a2c0980d1cc688c832640e89f0,3,6a9c2868431848ae719eeac8fa0049670ec397b1,63373206ae49d3fa3adc0b9a0f5492c8f2f69481,6650.921820,false,32,4744.273356,7972.499255
9,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,4,9fa6f29879a347f72a36b1d99286711879e78209,c896bcc036d32f7ec2779846e6c72fd2a9358ac7,7313.646733,false,13,5857.636608,12481.011760
10,moi_v1,IcyCore,E-outer,e5c7385392fffad877ce42c4d7038c78c6eae13d,2,216a858c51f0cc1c9d3ea3538772a37e2a68ccb7,2b74ab1642213f494cfb31025b744f58746d016d,13216.840938,true,6,3896.742215,19920.701045
11,moi_v1,IcyCore,E-outer,e5c7385392fffad877ce42c4d7038c78c6eae13d,5,12fd302e5c54c1442a32a140547ada1cab58858f,c1853b8515ea731fb733b07a4fb54e87a936059b,15179.425983,true,6,3691.770145,35234.987791
12,moi_v1,IcyCore,E-outer,e5c7385392fffad877ce42c4d7038c78c6eae13d,3,1670ae55d1cffe3073c2935324167722f9b81ce2,97ee3e9203787aa7b39686a0d8932b5c4f08a7c0,6699.947343,false,3,5747.579783,28538.763407
13,moi_v1,IcyCore,E-outer,e5c7385392fffad877ce42c4d7038c78c6eae13d,1,e36d0f8076007fe1c425a2d6ad2ed6863048bc34,17f393dc5e41d438f66be01a37646fde5d243f60,20104.994450,true,12,6508.212508,28834.748591
14,moi_v1,IcyCore,N-inner,3ea80949e20f8b9e2f428af2aa6b790b71552c55,1,377fca96fbb4ed5342bca5031f48be08c212c211,64da51d1ce406d1cdf64ceaed50de76648a4fc74,9917.743263,true,46,5597.645101,30707.315555
15,moi_v1,IcyCore,W-inner,32283baf5dda26d6169c0e39e964f3b04c50f275,1,c21af9c0d7b5354c8dcf75df6541214c7ba08b00,c52c2ed036d2488e61bd120f6a57df151a803a79,5917.734668,false,71,6347.865320,25772.166963
16,moi_v1,IcyCore,W-mid,f516110f26bb9c9c1ea9a1df95e659b6b7091ae5,1,9266637998321a151c512237ff7588e631139cb6,c1f8abf410b05f6b6a480654f29829a364f962a1,6834.762014,false,11,4632.984371,29570.973230
17,moi_v1,IcyCore,W-mid,f516110f26bb9c9c1ea9a1df95e659b6b7091ae5,2,082315614dc2c1c0fdf64691472d806e170fe684,c99eaf742835252443aa1b71209aa583b478e0f5,7494.919957,false,60,3027.370312,22088.324323
18,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,4,571913c82aef2f3725d15f9c93538eb51985889e,83b29ef45f92bbd7afe1893945b260bcc2331536,1728.889272,false,35,3476.165109,21456.299082
19,moi_v1,IcyCore,S-inner,f05b7fcea2fc08604b2b1c033b66d722443e8202,3,a742a7b56dcd06ceabe15ff6e98bd92ec2df33f7,b061d0ce9521d292235817d91b27274e355aaccd,4331.195047,false,93,4413.212353,16915.530797
20,moi_v1,IcyCore,S-mid,298fb48797a0a2a2c0980d1cc688c832640e89f0,2,44adbe70738a38fb30adfdd3a509c55bfe81abdb,4d6822c4587ca73ba59e6c42a79684dca0207dc4,6848.359186,false,71,5246.620190,11122.928008
21,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,2,0b43f380f8a0572cfbcf35dae5a567d0295029ab,4446af457d37c6105bd7144f376923ff592b390e,13749.565977,true,35,6350.209592,5838.869374
22,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,5,9daaf582a62e2fa35809dad071eb6dc527bd6239,d6e93125f17ca9cd3540d843a9e9f03cb4a764b2,16170.284509,true,17,7088.146422,17615.531710
23,moi_v1,IcyCore,W-outer,f3d5ff358bbdff83febac754d83f47a9ab459c07,5,8cf0ba92d5e768cc564763974ea34e66f155aba5,8494d137248c2d0a12faffa48e70ed218598f891,31209.841849,true,15,6254.388950,35305.116335
