seq,target_order,score_version,cohort_name,subregion,run_id,cluster_index,cluster_id,ring_id,is_medoid,dist_to_medoid_ly,dist2_to_medoid,moi_metric,system_name,body_name,ring_name
1,1,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,5,34cc69679bc1e8586249f7ef78140b8b5699ceb0,b1acb7546f45e5472dbbfc78c62bc2e4099fcd13,true,0.000000,0.000000,0.999772,Weqaea YC-Q b51-0,Weqaea YC-Q b51-0 ABC 2,Weqaea YC-Q b51-0 ABC 2 C Ring
1,2,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,5,34cc69679bc1e8586249f7ef78140b8b5699ceb0,76310fac1f3434805d2ab0321127339211076eb3,false,2213.598199,4900016.988281,0.999829,Joorooe ST-Z d2,Joorooe ST-Z d2 B 2,Joorooe ST-Z d2 B 2 A Ring
1,3,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,5,34cc69679bc1e8586249f7ef78140b8b5699ceb0,415d20298c205b7af89e632b4833a24a62e7e310,false,7973.126114,63570740.034180,0.999791,Dryiqu OV-P c8-20,Dryiqu OV-P c8-20 4,Dryiqu OV-P c8-20 4 A Ring
2,1,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,faa00b5bcbcc02f863f24354c129cb401ad0388d,true,0.000000,0.000000,0.999762,Schee Prau AA-A h417,Schee Prau AA-A h417 5,Schee Prau AA-A h417 5 B Ring
2,2,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,8a299f4bbf8790dd02fd39089b7a223a15d018f3,false,1691.079414,2859749.583008,0.999831,Hypoe Prue GR-W f1-231,Hypoe Prue GR-W f1-231 2,Hypoe Prue GR-W f1-231 2 B Ring
2,3,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,1d669f48766e697c1bdc7461eef13311f02609c9,false,2459.213386,6047730.477539,0.999100,Zuneae AA-X d2-654,Zuneae AA-X d2-654 5,Zuneae AA-X d2-654 5 C Ring
2,4,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,1a7163a235f805934070674e5274325c0b943d48,false,2494.243539,6221250.833984,0.999909,Scheau Ploe OS-U f2-4305,Scheau Ploe OS-U f2-4305 1,Scheau Ploe OS-U f2-4305 1 B Ring
2,5,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,5b8c87400053431d5d5a7625e96629dc8d877b50,false,2497.908031,6239544.529297,0.999615,Athair LP-D d13-242,Athair LP-D d13-242 10,Athair LP-D d13-242 10 C Ring
2,6,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,b5d27cc47d3fef7cf5272ccfaecda30d85249d73,false,2567.370804,6591392.847656,0.999951,Kyloae Prau FB-X f1-1,Kyloae Prau FB-X f1-1 2,Kyloae Prau FB-X f1-1 2 C Ring
2,7,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,25114cc4467dc75e64439eaa6bf17663c261f38f,false,2626.762579,6899881.645508,0.999462,Eord Blao VY-S e3-249,Eord Blao VY-S e3-249 3,Eord Blao VY-S e3-249 3 A Ring
2,8,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,a4be8c0f73df9eccca548369293b29425981f733,false,2828.546448,8000675.005859,0.999917,Eord Blao VE-R e4-3308,Eord Blao VE-R e4-3308 A 1,Eord Blao VE-R e4-3308 A 1 C Ring
2,9,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,4cb10e9c9316c0fbcd79a1e6c12096b77e0563f5,false,2833.906186,8031024.268555,0.999848,Lyrongou GG-Y f846,Lyrongou GG-Y f846 3,Lyrongou GG-Y f846 3 B Ring
2,10,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,32e7783b3257e833356de598c017e571e697f8f0,false,3135.483189,9831254.828125,0.999968,Athair GG-Y f1100,Athair GG-Y f1100 1,Athair GG-Y f1100 1 B Ring
2,11,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,c07584d699c259f2b41c4a315caa1c5c13def5e4,false,3263.637157,10651327.494141,0.999372,Dumbue PN-S d4-7,Dumbue PN-S d4-7 AB 1,Dumbue PN-S d4-7 AB 1 B Ring
2,12,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,71ff7b7142f5d3f0030885b8229b39947053039b,false,3265.625933,10664312.732422,0.999597,Dumbue PN-S d4-155,Dumbue PN-S d4-155 A 9,Dumbue PN-S d4-155 A 9 B Ring
2,13,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,5f835b9185fc17e46743801ced1e395bb82f36af,false,3278.436896,10748148.482422,0.999687,Plipua BF-A f189,Plipua BF-A f189 2,Plipua BF-A f189 2 A Ring
2,14,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,24b7f0430146d6bfde90f19e0a3fae719cb149ea,false,3428.968996,11757828.375977,0.999713,Egnaix HR-W f1-120,Egnaix HR-W f1-120 4,Egnaix HR-W f1-120 4 A Ring
2,15,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,3b90fd8020025fe558fc6915894f0de5650d5ac4,false,3648.465561,13311300.949219,0.998640,Eorm Phyloi AQ-Y f177,Eorm Phyloi AQ-Y f177 1,Eorm Phyloi AQ-Y f177 1 A Ring
2,16,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,a0387a060884514d9ab5b150dbeb4fabf11b1f80,false,3742.168727,14003826.781250,0.999859,Egnaimt HG-Y f22,Egnaimt HG-Y f22 1,Egnaimt HG-Y f22 1 B Ring
2,17,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,7ad95206730247a987327a510e0a2168d24f78bb,false,3972.755509,15782786.333984,0.999963,Shrogaae MR-U c16-479,Shrogaae MR-U c16-479 4,Shrogaae MR-U c16-479 4 B Ring
2,18,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,6356b533fe3d0a17b86108e5d5e51395906ac223,false,3991.278148,15930301.252930,1.000000,Egnaimt AA-A h373,Egnaimt AA-A h373 BC 1,Egnaimt AA-A h373 BC 1 B Ring
2,19,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,82ebf2169b2c0776b9d0b788177b49dee2d4a4a5,false,3991.278148,15930301.252930,0.999979,Egnaimt AA-A h373,Egnaimt AA-A h373 BC 2,Egnaimt AA-A h373 BC 2 A Ring
2,20,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,34fc6d955c1cc83a2a64e4e467723e6209e37e46,false,4019.518681,16156530.430664,0.999641,Dryoea Blao VJ-R e4-98,Dryoea Blao VJ-R e4-98 2,Dryoea Blao VJ-R e4-98 2 C Ring
2,21,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,5fc31a3dea2e36e4aea709db7281a68bb442843a,false,4020.389357,16163530.583984,0.998757,Quemaae KH-D b26-0,Quemaae KH-D b26-0 8,Quemaae KH-D b26-0 8 C Ring
2,22,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,bf40b3513a1928228f8a0aadaf3a5f05e22d705a,false,4439.179697,19706316.379883,0.999387,Aunaiwyg LX-U f2-693,Aunaiwyg LX-U f2-693 3,Aunaiwyg LX-U f2-693 3 C Ring
2,23,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,d0985fc3465a8f7a363a2acb425c5ff2ab1a03e9,false,4449.150080,19794936.435547,0.999951,Umbaists AA-A g124,Umbaists AA-A g124 1,Umbaists AA-A g124 1 B Ring
2,24,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,5dc4f1dd2bfd5e3cb9953af553ddf7df5ad5cdcc,false,4611.180254,21262983.333008,0.999890,Eorld Blao JB-U c4-33,Eorld Blao JB-U c4-33 5,Eorld Blao JB-U c4-33 5 B Ring
2,25,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,a6272802f4caf292dcf10d89fa31911c38585c4d,false,4664.792093,21760285.267578,0.999397,Hypou Aurb NS-K d8-25,Hypou Aurb NS-K d8-25 3,Hypou Aurb NS-K d8-25 3 B Ring
2,26,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,22ad96f5685155e5e025b67fdb6ed5f072cb6c68,false,4730.273387,22375486.317383,0.999955,Eoch Byoea DA-A f2655,Eoch Byoea DA-A f2655 A 2,Eoch Byoea DA-A f2655 A 2 C Ring
2,27,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,76dff07073a82d7d7649985e3ce45f7805d77bbf,false,4838.587343,23411927.478516,0.999772,Kyloagy WT-E c182,Kyloagy WT-E c182 B 8,Kyloagy WT-E c182 B 8 C Ring
2,28,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,84902ca4273f4ecc84f6db436a48373119d54d69,false,5114.301083,26156075.568359,0.999470,Eord Prau XP-N d7-615,Eord Prau XP-N d7-615 B 7,Eord Prau XP-N d7-615 B 7 B Ring
2,29,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,8c3ad4aceb6c15b7f8e2063587cff08edeef5d42,false,5507.937953,30337380.489258,0.999972,Eoch Grea IR-W f1-45,Eoch Grea IR-W f1-45 3,Eoch Grea IR-W f1-45 3 C Ring
2,30,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,e5ce0ae3f27deb041723881ebf1b4778dc34bd3c,false,5753.485130,33102591.137695,0.999781,Eembaism WB-C d13-2291,Eembaism WB-C d13-2291 13,Eembaism WB-C d13-2291 13 B Ring
3,1,moi_v1,IcyCore,E-inner,2be414597e16938becdaa9f22459fff68373da68,1,6cbb2130c6c1d0859871e36190668f40db76a2bd,161fe4f84d112ecc5374862e765988ec83069cc7,true,0.000000,0.000000,0.999943,Croomae OS-U f2-272,Croomae OS-U f2-272 1,Croomae OS-U f2-272 1 C Ring
3,2,moi_v1,IcyCore,E-inner,2be414597e16938becdaa9f22459fff68373da68,1,6cbb2130c6c1d0859871e36190668f40db76a2bd,5fbd2a02363e8daf245705dc970a27a2412a744c,false,861.928922,742921.466797,0.999641,Croomae JG-Y e2856,Croomae JG-Y e2856 A 1,Croomae JG-Y e2856 A 1 B Ring
3,3,moi_v1,IcyCore,E-inner,2be414597e16938becdaa9f22459fff68373da68,1,6cbb2130c6c1d0859871e36190668f40db76a2bd,ea365baf88ae8feb21f986b5413c18887e539c6d,false,862.475714,743864.357422,0.999914,Croomae AA-A g63,Croomae AA-A g63 A 1,Croomae AA-A g63 A 1 C Ring
3,4,moi_v1,IcyCore,E-inner,2be414597e16938becdaa9f22459fff68373da68,1,6cbb2130c6c1d0859871e36190668f40db76a2bd,e0e8bb81b09e0c9306ad8e3d5db8a09be91d682e,false,1122.734283,1260532.269531,0.999947,Phaa Aug FR-V e2-131,Phaa Aug FR-V e2-131 2,Phaa Aug FR-V e2-131 2 A Ring
3,5,moi_v1,IcyCore,E-inner,2be414597e16938becdaa9f22459fff68373da68,1,6cbb2130c6c1d0859871e36190668f40db76a2bd,031e2e1567bdc47b59b731f60bd9fe83cdc60f1e,false,1238.639047,1534226.688477,0.999957,Hypiae Aug OS-U f2-3258,Hypiae Aug OS-U f2-3258 1,Hypiae Aug OS-U f2-3258 1 B Ring
3,6,moi_v1,IcyCore,E-inner,2be414597e16938becdaa9f22459fff68373da68,1,6cbb2130c6c1d0859871e36190668f40db76a2bd,5a56e0c6a2040c8f9680f3e477f7e5ee4c474335,false,1440.499285,2075038.189453,0.999856,Eotchops FG-Y g1550,Eotchops FG-Y g1550 B 1,Eotchops FG-Y g1550 B 1 B Ring
3,7,moi_v1,IcyCore,E-inner,2be414597e16938becdaa9f22459fff68373da68,1,6cbb2130c6c1d0859871e36190668f40db76a2bd,2972a2bd587a9e3b514e905cecb9e8deb60fdd8e,false,1485.684076,2207257.173828,0.999497,Hypiae Aug CQ-Y f153,Hypiae Aug CQ-Y f153 3,Hypiae Aug CQ-Y f153 3 A Ring
3,8,moi_v1,IcyCore,E-inner,2be414597e16938becdaa9f22459fff68373da68,1,6cbb2130c6c1d0859871e36190668f40db76a2bd,f309e96e20a09c9512943fb8380fd99cb6f9f84d,false,1823.079731,3323619.706055,0.999810,Zunao RZ-O e6-5219,Zunao RZ-O e6-5219 3,Zunao RZ-O e6-5219 3 B Ring
3,9,moi_v1,IcyCore,E-inner,2be414597e16938becdaa9f22459fff68373da68,1,6cbb2130c6c1d0859871e36190668f40db76a2bd,0495b39763b857c94f0daea0d277fb36f58e5963,false,1856.268267,3445731.877930,0.999882,Phipaa ZJ-Z e9877,Phipaa ZJ-Z e9877 2,Phipaa ZJ-Z e9877 2 A Ring
3,10,moi_v1,IcyCore,E-inner,2be414597e16938becdaa9f22459fff68373da68,1,6cbb2130c6c1d0859871e36190668f40db76a2bd,a368b2275f49ec2cf0ed061000fd1d9a3b30eabc,false,1962.399607,3851012.216797,0.999826,Phoi Aurb AA-A h241,Phoi Aurb AA-A h241 AB 1,Phoi Aurb AA-A h241 AB 1 B Ring
3,11,moi_v1,IcyCore,E-inner,2be414597e16938becdaa9f22459fff68373da68,1,6cbb2130c6c1d0859871e36190668f40db76a2bd,f1ac9a8edbeaa761492ab33dcd8bb4f6733a9e98,false,1962.399607,3851012.216797,0.999995,Phoi Aurb AA-A h241,Phoi Aurb AA-A h241 AB 2,Phoi Aurb AA-A h241 AB 2 A Ring
3,12,moi_v1,IcyCore,E-inner,2be414597e16938becdaa9f22459fff68373da68,1,6cbb2130c6c1d0859871e36190668f40db76a2bd,9b1866479763ebc0dc003e7b9d2c2d97efedf3b0,false,1974.456826,3898479.755859,0.999873,Eor Phyloi AA-A h534,Eor Phyloi AA-A h534 B 2,Eor Phyloi AA-A h534 B 2 C Ring
3,13,moi_v1,IcyCore,E-inner,2be414597e16938becdaa9f22459fff68373da68,1,6cbb2130c6c1d0859871e36190668f40db76a2bd,93178ae62fd63e6f5de97401daffa565a682fd6f,false,2221.659899,4935772.705078,0.999850,Phoi Aug SJ-Z e90,Phoi Aug SJ-Z e90 1,Phoi Aug SJ-Z e90 1 B Ring
3,14,moi_v1,IcyCore,E-inner,2be414597e16938becdaa9f22459fff68373da68,1,6cbb2130c6c1d0859871e36190668f40db76a2bd,527cbcb8df81b4925b73528d4b31041e4de54527,false,2378.449694,5657022.946289,0.999822,Stuemeae KC-Y c3-602,Stuemeae KC-Y c3-602 6,Stuemeae KC-Y c3-602 6 A Ring
3,15,moi_v1,IcyCore,E-inner,2be414597e16938becdaa9f22459fff68373da68,1,6cbb2130c6c1d0859871e36190668f40db76a2bd,4f22e5ad5316eaf0c0e3a7b7b442fabda9512418,false,2425.866205,5884826.846680,0.999935,Phaa Aoc GI-M c7-1672,Phaa Aoc GI-M c7-1672 2,Phaa Aoc GI-M c7-1672 2 C Ring
3,16,moi_v1,IcyCore,E-inner,2be414597e16938becdaa9f22459fff68373da68,1,6cbb2130c6c1d0859871e36190668f40db76a2bd,d130e382570a963ff8646d0d7814a20785c6df1b,false,2429.325244,5901621.142578,0.999939,Eorl Phyloi IR-W f1-221,Eorl Phyloi IR-W f1-221 2,Eorl Phyloi IR-W f1-221 2 C Ring
3,17,moi_v1,IcyCore,E-inner,2be414597e16938becdaa9f22459fff68373da68,1,6cbb2130c6c1d0859871e36190668f40db76a2bd,0026cc474fb2b6a8491d1c74d31fea4d2fd824e4,false,2435.068107,5929556.684570,0.999930,Byoomeae PS-U f2-4302,Byoomeae PS-U f2-4302 2,Byoomeae PS-U f2-4302 2 B Ring
3,18,moi_v1,IcyCore,E-inner,2be414597e16938becdaa9f22459fff68373da68,1,6cbb2130c6c1d0859871e36190668f40db76a2bd,d6985e87b62557a089027bb995835b625582f92d,false,2877.091157,8277653.524414,0.999942,Systimbie AA-A g246,Systimbie AA-A g246 A 5,Systimbie AA-A g246 A 5 B Ring
3,19,moi_v1,IcyCore,E-inner,2be414597e16938becdaa9f22459fff68373da68,1,6cbb2130c6c1d0859871e36190668f40db76a2bd,cd4412ca8c79bcb037a7c0fdfd1fce37ae1f626a,false,2900.742535,8414307.254883,0.999834,Scheau Prue FB-W e2-2398,Scheau Prue FB-W e2-2398 3,Scheau Prue FB-W e2-2398 3 B Ring
3,20,moi_v1,IcyCore,E-inner,2be414597e16938becdaa9f22459fff68373da68,1,6cbb2130c6c1d0859871e36190668f40db76a2bd,595b8580225712d9f37b7c37b251a13dbe2d3fac,false,3056.940674,9344886.282227,0.999582,Myrielk LE-G c24-2205,Myrielk LE-G c24-2205 2,Myrielk LE-G c24-2205 2 C Ring
3,21,moi_v1,IcyCore,E-inner,2be414597e16938becdaa9f22459fff68373da68,1,6cbb2130c6c1d0859871e36190668f40db76a2bd,d9fb05c98c73d083e06176b553ab701759bb46f1,false,3111.512917,9681512.630859,0.999918,Eachaitts JH-V f2-2551,Eachaitts JH-V f2-2551 2,Eachaitts JH-V f2-2551 2 B Ring
