seq,target_order,score_version,cohort_name,subregion,run_id,cluster_index,cluster_id,ring_id,is_medoid,dist_to_medoid_ly,dist2_to_medoid,moi_metric,system_name,body_name,ring_name
1,1,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,faa00b5bcbcc02f863f24354c129cb401ad0388d,true,0.000000,0.000000,0.999762,Schee Prau AA-A h417,Schee Prau AA-A h417 5,Schee Prau AA-A h417 5 B Ring
1,2,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,8a299f4bbf8790dd02fd39089b7a223a15d018f3,false,1691.079414,2859749.583008,0.999831,Hypoe Prue GR-W f1-231,Hypoe Prue GR-W f1-231 2,Hypoe Prue GR-W f1-231 2 B Ring
1,3,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,1d669f48766e697c1bdc7461eef13311f02609c9,false,2459.213386,6047730.477539,0.999100,Zuneae AA-X d2-654,Zuneae AA-X d2-654 5,Zuneae AA-X d2-654 5 C Ring
1,4,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,1a7163a235f805934070674e5274325c0b943d48,false,2494.243539,6221250.833984,0.999909,Scheau Ploe OS-U f2-4305,Scheau Ploe OS-U f2-4305 1,Scheau Ploe OS-U f2-4305 1 B Ring
1,5,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,5b8c87400053431d5d5a7625e96629dc8d877b50,false,2497.908031,6239544.529297,0.999615,Athair LP-D d13-242,Athair LP-D d13-242 10,Athair LP-D d13-242 10 C Ring
1,6,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,b5d27cc47d3fef7cf5272ccfaecda30d85249d73,false,2567.370804,6591392.847656,0.999951,Kyloae Prau FB-X f1-1,Kyloae Prau FB-X f1-1 2,Kyloae Prau FB-X f1-1 2 C Ring
1,7,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,25114cc4467dc75e64439eaa6bf17663c261f38f,false,2626.762579,6899881.645508,0.999462,Eord Blao VY-S e3-249,Eord Blao VY-S e3-249 3,Eord Blao VY-S e3-249 3 A Ring
1,8,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,a4be8c0f73df9eccca548369293b29425981f733,false,2828.546448,8000675.005859,0.999917,Eord Blao VE-R e4-3308,Eord Blao VE-R e4-3308 A 1,Eord Blao VE-R e4-3308 A 1 C Ring
1,9,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,4cb10e9c9316c0fbcd79a1e6c12096b77e0563f5,false,2833.906186,8031024.268555,0.999848,Lyrongou GG-Y f846,Lyrongou GG-Y f846 3,Lyrongou GG-Y f846 3 B Ring
1,10,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,32e7783b3257e833356de598c017e571e697f8f0,false,3135.483189,9831254.828125,0.999968,Athair GG-Y f1100,Athair GG-Y f1100 1,Athair GG-Y f1100 1 B Ring
1,11,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,c07584d699c259f2b41c4a315caa1c5c13def5e4,false,3263.637157,10651327.494141,0.999372,Dumbue PN-S d4-7,Dumbue PN-S d4-7 AB 1,Dumbue PN-S d4-7 AB 1 B Ring
1,12,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,71ff7b7142f5d3f0030885b8229b39947053039b,false,3265.625933,10664312.732422,0.999597,Dumbue PN-S d4-155,Dumbue PN-S d4-155 A 9,Dumbue PN-S d4-155 A 9 B Ring
1,13,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,5f835b9185fc17e46743801ced1e395bb82f36af,false,3278.436896,10748148.482422,0.999687,Plipua BF-A f189,Plipua BF-A f189 2,Plipua BF-A f189 2 A Ring
1,14,moi_v1,IcyCore,E-mid,a24121c9fe26f4b21022bd2df714b5fec0170c01,1,9161693d04c960daad7f717cd10464bbcdd80021,24b7f0430146d6bfde90f19e0a3fae719cb149ea,false,3428.968996,11757828.375977,0.999713,Egnaix HR-W f1-120,Egnaix HR-W f1-120 4,Egnaix HR-W f1-120 4 A Ring
