seq,target_order,score_version,cohort_name,subregion,run_id,cluster_index,cluster_id,ring_id,is_medoid,dist_to_medoid_ly,dist2_to_medoid,moi_metric,system_name,body_name,ring_name
1,1,moi_v1,IcyCore,E-outer,e5c7385392fffad877ce42c4d7038c78c6eae13d,2,216a858c51f0cc1c9d3ea3538772a37e2a68ccb7,2b74ab1642213f494cfb31025b744f58746d016d,true,0.000000,0.000000,0.999861,Blia Aim SJ-I d9-184,Blia Aim SJ-I d9-184 AB 1,Blia Aim SJ-I d9-184 AB 1 C Ring
1,2,moi_v1,IcyCore,E-outer,e5c7385392fffad877ce42c4d7038c78c6eae13d,2,216a858c51f0cc1c9d3ea3538772a37e2a68ccb7,7fdeabaf4b657652834ca0ed277e37806f83f1fb,false,1672.897111,2798584.743164,0.999399,Froade HG-Q b20-6,Froade HG-Q b20-6 3,Froade HG-Q b20-6 3 C Ring
1,3,moi_v1,IcyCore,E-outer,e5c7385392fffad877ce42c4d7038c78c6eae13d,2,216a858c51f0cc1c9d3ea3538772a37e2a68ccb7,e025b8684cb514147656ef980347154c8f6900ea,false,2045.550211,4184275.666992,0.999774,Blooe Phoe RU-D c26-0,Blooe Phoe RU-D c26-0 3,Blooe Phoe RU-D c26-0 3 A Ring
1,4,moi_v1,IcyCore,E-outer,e5c7385392fffad877ce42c4d7038c78c6eae13d,2,216a858c51f0cc1c9d3ea3538772a37e2a68ccb7,5c2b10327edce28bd74c3956fdb5ce9d0bb51635,false,3096.762863,9589940.229492,0.999990,Yoqeia XM-H d11-16,Yoqeia XM-H d11-16 5,Yoqeia XM-H d11-16 5 C Ring
1,5,moi_v1,IcyCore,E-outer,e5c7385392fffad877ce42c4d7038c78c6eae13d,2,216a858c51f0cc1c9d3ea3538772a37e2a68ccb7,d974cd2d9f991afdf56ce102690ce1298fe4bf29,false,3896.742215,15184599.891602,0.999821,Blia Aewsy SO-R c4-0,Blia Aewsy SO-R c4-0 2,Blia Aewsy SO-R c4-0 2 A Ring
1,6,moi_v1,IcyCore,E-outer,e5c7385392fffad877ce42c4d7038c78c6eae13d,2,216a858c51f0cc1c9d3ea3538772a37e2a68ccb7,3c737440c75d9a78806c02959da9ca0a16e6c60a,false,5857.752846,34313268.403320,0.999834,Dryaa Flyao OS-B d320,Dryaa Flyao OS-B d320 8,Dryaa Flyao OS-B d320 8 B Ring
2,1,moi_v1,IcyCore,E-outer,e5c7385392fffad877ce42c4d7038c78c6eae13d,5,12fd302e5c54c1442a32a140547ada1cab58858f,c1853b8515ea731fb733b07a4fb54e87a936059b,true,0.000000,0.000000,0.999989,Phrauph AX-R d5-37,Phrauph AX-R d5-37 BC 4,Phrauph AX-R d5-37 BC 4 C Ring
2,2,moi_v1,IcyCore,E-outer,e5c7385392fffad877ce42c4d7038c78c6eae13d,5,12fd302e5c54c1442a32a140547ada1cab58858f,b31ddc4ac43386420f8029d2dd667348c34698aa,false,1581.133902,2499984.416016,0.999846,Meamoea HH-K c9-1,Meamoea HH-K c9-1 4,Meamoea HH-K c9-1 4 A Ring
2,3,moi_v1,IcyCore,E-outer,e5c7385392fffad877ce42c4d7038c78c6eae13d,5,12fd302e5c54c1442a32a140547ada1cab58858f,0de7d1e56e10e3744beda34914c674d81d0e8566,false,1936.809264,3751230.125977,0.999869,Shumbeia OM-G c25-0,Shumbeia OM-G c25-0 9,Shumbeia OM-G c25-0 9 C Ring
2,4,moi_v1,IcyCore,E-outer,e5c7385392fffad877ce42c4d7038c78c6eae13d,5,12fd302e5c54c1442a32a140547ada1cab58858f,58909591442ff46678be36e6917981d0914d1f5b,false,2953.355307,8722307.572266,0.999015,Dryu Aoc WB-O c6-0,Dryu Aoc WB-O c6-0 A 4,Dryu Aoc WB-O c6-0 A 4 C Ring
2,5,moi_v1,IcyCore,E-outer,e5c7385392fffad877ce42c4d7038c78c6eae13d,5,12fd302e5c54c1442a32a140547ada1cab58858f,ea8c3c63de65cdd985e50e49afd5c2226342e0a1,false,3691.770145,13629166.800781,0.999915,Chanaea OH-M c10-0,Chanaea OH-M c10-0 6,Chanaea OH-M c10-0 6 A Ring
2,6,moi_v1,IcyCore,E-outer,e5c7385392fffad877ce42c4d7038c78c6eae13d,5,12fd302e5c54c1442a32a140547ada1cab58858f,f9e3db12547c5ff708fc3e945465b69d249b2bdc,false,8074.738981,65201409.606445,0.999403,Sphaulooe EP-Q c21-2,Sphaulooe EP-Q c21-2 4,Sphaulooe EP-Q c21-2 4 A Ring
