seq,target_order,score_version,cohort_name,subregion,run_id,cluster_index,cluster_id,ring_id,is_medoid,dist_to_medoid_ly,dist2_to_medoid,moi_metric,system_name,body_name,ring_name
1,1,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,5,34cc69679bc1e8586249f7ef78140b8b5699ceb0,b1acb7546f45e5472dbbfc78c62bc2e4099fcd13,TRUE,0,0,0.999772,Weqaea YC-Q b51-0,Weqaea YC-Q b51-0 ABC 2,Weqaea YC-Q b51-0 ABC 2 C Ring
1,2,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,5,34cc69679bc1e8586249f7ef78140b8b5699ceb0,76310fac1f3434805d2ab0321127339211076eb3,FALSE,2213.598199,4900016.988,0.999829,Joorooe ST-Z d2,Joorooe ST-Z d2 B 2,Joorooe ST-Z d2 B 2 A Ring
1,3,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,5,34cc69679bc1e8586249f7ef78140b8b5699ceb0,415d20298c205b7af89e632b4833a24a62e7e310,FALSE,7973.126114,63570740.03,0.999791,Dryiqu OV-P c8-20,Dryiqu OV-P c8-20 4,Dryiqu OV-P c8-20 4 A Ring
2,1,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,2,16abd7b05126e147f46d778a47232a3ecac66751,389073aae6e21378579c4265ba9c205755b92d5d,TRUE,0,0,0.99992,Syrivu CP-H c10-0,Syrivu CP-H c10-0 4,Syrivu CP-H c10-0 4 C Ring
2,2,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,2,16abd7b05126e147f46d778a47232a3ecac66751,a0f3a3cb7c07b8ac559adc5ae688f59e101ca8d9,FALSE,5559.236616,30905111.76,0.998747,Pyrai Eop PC-T d4-2,Pyrai Eop PC-T d4-2 3,Pyrai Eop PC-T d4-2 3 A Ring
3,1,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,3,a39513c81f04ecdb62aef1901983be50dfde49ef,a78ee8649fadc15d98cdcff21db80c8b448d7db0,TRUE,0,0,0.999835,Eactaifs FX-A c14-1,Eactaifs FX-A c14-1 8,Eactaifs FX-A c14-1 8 C Ring
3,2,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,3,a39513c81f04ecdb62aef1901983be50dfde49ef,85771ae77f66cd592aa9f960ef371aab9ca985ea,FALSE,3423.419176,11719798.86,0.999943,Eactaiwnst KY-F c25-7,Eactaiwnst KY-F c25-7 4,Eactaiwnst KY-F c25-7 4 A Ring
3,3,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,3,a39513c81f04ecdb62aef1901983be50dfde49ef,75cc846d079521fd9e012935105c3576b8d6c9d6,FALSE,4017.26828,16138444.43,0.999675,Cyoagi UL-B d14-6,Cyoagi UL-B d14-6 AB 1,Cyoagi UL-B d14-6 AB 1 B Ring
3,4,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,3,a39513c81f04ecdb62aef1901983be50dfde49ef,9a8369a9a49135cfff9a7193a65c377051fd1bb9,FALSE,8114.48725,65844903.33,0.999978,Blua Flyi CF-O c7-0,Blua Flyi CF-O c7-0 8,Blua Flyi CF-O c7-0 8 B Ring
4,1,moi_v1,IcyCore,N-outer,0cade96d52e89ebe143fa4a373cc8ab54fc645fa,6,bd9923d15f8549ff8e4466d8e8e9dd7ce99546df,e71a36dc702d17e785d976d05b9538e6cf9b2e29,TRUE,0,0,0.999965,Myeia Thaa HA-Y c14-0,Myeia Thaa HA-Y c14-0 4,Myeia Thaa HA-Y c14-0 4 C Ring
