seq,target_order,score_version,cohort_name,subregion,run_id,cluster_index,cluster_id,ring_id,is_medoid,dist_to_medoid_ly,dist2_to_medoid,moi_metric,system_name,body_name,ring_name
1,1,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,1,5f6c8027795612b7f69872aa4833f79cd0d254a6,3813d6a8d15a02fafa283f7b8bf618659903473f,true,0.000000,0.000000,0.999740,IC 2602 Sector VE-Q c5-10,IC 2602 Sector VE-Q c5-10 3,IC 2602 Sector VE-Q c5-10 3 C Ring
1,2,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,1,5f6c8027795612b7f69872aa4833f79cd0d254a6,70d74fa5a68abdb0b30eaa83dd451166cd8f2083,false,146.872570,21571.551758,0.999509,Swoilz OY-D c1-20,Swoilz OY-D c1-20 2,Swoilz OY-D c1-20 2 B Ring
1,3,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,1,5f6c8027795612b7f69872aa4833f79cd0d254a6,c6662a02f67859cb55f43c5d24fcac69f7d95420,false,357.974726,128145.904297,0.999818,HIP 57799,HIP 57799 ABCD 4,HIP 57799 ABCD 4 C Ring
1,4,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,1,5f6c8027795612b7f69872aa4833f79cd0d254a6,aa111b6ae36a072681a6d4393bf4cb09ed5b5d3d,false,420.305332,176656.572266,0.999208,Praea Euq KV-O c6-0,Praea Euq KV-O c6-0 5,Praea Euq KV-O c6-0 5 A Ring
1,5,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,1,5f6c8027795612b7f69872aa4833f79cd0d254a6,3b610b8f250692c4a9fa286bfd4704fa89ea06ec,false,504.372901,254392.023438,0.999935,Synuefe RG-M b40-2,Synuefe RG-M b40-2 3,Synuefe RG-M b40-2 3 C Ring
1,6,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,1,5f6c8027795612b7f69872aa4833f79cd0d254a6,69e64348a4c906e3bc42a77ce9a3a40e4b3ae2ce,false,603.514339,364229.557617,0.999909,Synuefe RQ-G c26-6,Synuefe RQ-G c26-6 AB 3,Synuefe RQ-G c26-6 AB 3 B Ring
1,7,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,1,5f6c8027795612b7f69872aa4833f79cd0d254a6,9dea53fcf69bf58398b455572eb56aa23a9b9ecf,false,627.659438,393956.370117,0.999832,Col 173 Sector JP-B b31-2,Col 173 Sector JP-B b31-2 5,Col 173 Sector JP-B b31-2 5 A Ring
1,8,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,1,5f6c8027795612b7f69872aa4833f79cd0d254a6,e272c8a250c0698572b0bbd574f5dd4003758123,false,629.806304,396655.980469,0.999932,LTT 12696,LTT 12696 3,LTT 12696 3 C Ring
1,9,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,1,5f6c8027795612b7f69872aa4833f79cd0d254a6,35a86f71217bc09dddbd521e869cc6d6d5828867,false,653.446566,426992.415039,0.999683,HIP 1290,HIP 1290 11,HIP 1290 11 C Ring
1,10,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,1,5f6c8027795612b7f69872aa4833f79cd0d254a6,0f9a3f6c059b83241bb01ffcdef3d1c526e2dc51,false,656.644584,431182.110352,0.999892,Swoilz AG-U c4-0,Swoilz AG-U c4-0 AB 7,Swoilz AG-U c4-0 AB 7 A Ring
1,11,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,1,5f6c8027795612b7f69872aa4833f79cd0d254a6,1f1bf6f36c840d0b749556a803303c1c671ea934,false,694.745480,482671.282227,0.999783,Wregoe PO-K b37-2,Wregoe PO-K b37-2 2,Wregoe PO-K b37-2 2 B Ring
1,12,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,1,5f6c8027795612b7f69872aa4833f79cd0d254a6,5c3a0dc589c5d048508b267534ff39f8d92f655e,false,695.934734,484325.153320,0.999780,Col 173 Sector NJ-P d6-96,Col 173 Sector NJ-P d6-96 AB 2,Col 173 Sector NJ-P d6-96 AB 2 C Ring
1,13,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,1,5f6c8027795612b7f69872aa4833f79cd0d254a6,6b55f3bef33351bd5bae7399d835ff2d78d3a2d9,false,697.303655,486232.387695,0.999959,Col 359 Sector RB-Q b8-0,Col 359 Sector RB-Q b8-0 6,Col 359 Sector RB-Q b8-0 6 C Ring
1,14,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,1,5f6c8027795612b7f69872aa4833f79cd0d254a6,4e8f230a810ecf2ac52363105db6ab95f1db7f03,false,766.164351,587007.813477,0.999874,Synuefe WZ-W b34-1,Synuefe WZ-W b34-1 A 1,Synuefe WZ-W b34-1 A 1 C Ring
1,15,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,1,5f6c8027795612b7f69872aa4833f79cd0d254a6,b4928e7fed5ef42d0de69253402cbe5c8b2616e5,false,794.255318,630841.510742,0.999982,Synuefe QU-N d7-19,Synuefe QU-N d7-19 9,Synuefe QU-N d7-19 9 B Ring
1,16,moi_v1,IcyCore,S-outer,e9ee4c71a934ebc9deeca63924f53a59d6122f5e,1,5f6c8027795612b7f69872aa4833f79cd0d254a6,49537c6c01091385bcea5756110f6e23e16b030b,false,830.831723,690281.352539,0.998607,Col 359 Sector BA-Y d1-41,Col 359 Sector BA-Y d1-41 ABC 1,Col 359 Sector BA-Y d1-41 ABC 1 C Ring
