seq,target_order,score_version,cohort_name,subregion,run_id,cluster_index,cluster_id,ring_id,is_medoid,dist_to_medoid_ly,dist2_to_medoid,moi_metric,system_name,body_name,ring_name
1,1,moi_v1,IcyCore,W-inner,32283baf5dda26d6169c0e39e964f3b04c50f275,1,c21af9c0d7b5354c8dcf75df6541214c7ba08b00,c52c2ed036d2488e61bd120f6a57df151a803a79,true,0.000000,0.000000,0.999919,Hypoe Pruae AX-B c29-3226,Hypoe Pruae AX-B c29-3226 A 1,Hypoe Pruae AX-B c29-3226 A 1 A Ring
1,2,moi_v1,IcyCore,W-inner,32283baf5dda26d6169c0e39e964f3b04c50f275,1,c21af9c0d7b5354c8dcf75df6541214c7ba08b00,602bb2a2ef04d4c5d59599f1505d46252b362d44,false,1599.800727,2559362.365234,0.999971,Phraa Pruae AA-A g222,Phraa Pruae AA-A g222 3,Phraa Pruae AA-A g222 3 A Ring
1,3,moi_v1,IcyCore,W-inner,32283baf5dda26d6169c0e39e964f3b04c50f275,1,c21af9c0d7b5354c8dcf75df6541214c7ba08b00,ed822fdaa94f45be5402ebb3da554e04200747dc,false,1698.266803,2884110.132812,0.999824,Croomoea DR-N e6-3263,Croomoea DR-N e6-3263 3,Croomoea DR-N e6-3263 3 A Ring
1,4,moi_v1,IcyCore,W-inner,32283baf5dda26d6169c0e39e964f3b04c50f275,1,c21af9c0d7b5354c8dcf75df6541214c7ba08b00,0d3964593035c48e41171ce8cf07fb1c24b79110,false,1785.995266,3189779.091797,0.999853,Choomee CX-S d4-38,Choomee CX-S d4-38 10,Choomee CX-S d4-38 10 C Ring
1,5,moi_v1,IcyCore,W-inner,32283baf5dda26d6169c0e39e964f3b04c50f275,1,c21af9c0d7b5354c8dcf75df6541214c7ba08b00,db0b65febfe4f63f7ed198c6ea084953e72d201f,false,1877.750812,3525948.111328,0.999813,Scheau Pri EO-L c23-415,Scheau Pri EO-L c23-415 3,Scheau Pri EO-L c23-415 3 C Ring
1,6,moi_v1,IcyCore,W-inner,32283baf5dda26d6169c0e39e964f3b04c50f275,1,c21af9c0d7b5354c8dcf75df6541214c7ba08b00,47d6656d34a947dd80397e805b4d175cdd79ec41,false,1919.220515,3683407.386719,0.999650,Wepooe WJ-R e4-5979,Wepooe WJ-R e4-5979 1,Wepooe WJ-R e4-5979 1 B Ring
1,7,moi_v1,IcyCore,W-inner,32283baf5dda26d6169c0e39e964f3b04c50f275,1,c21af9c0d7b5354c8dcf75df6541214c7ba08b00,7da1f61a865da49bcf2d1e019103b8a3f8a361db,false,2007.551733,4030263.961914,0.999748,Phraa Pruae AA-A g1885,Phraa Pruae AA-A g1885 A 4,Phraa Pruae AA-A g1885 A 4 B Ring
1,8,moi_v1,IcyCore,W-inner,32283baf5dda26d6169c0e39e964f3b04c50f275,1,c21af9c0d7b5354c8dcf75df6541214c7ba08b00,4c86adc13d5d6e16306317dde08719176f9176ed,false,2165.658853,4690078.267578,0.999675,Eok Blou BA-A e454,Eok Blou BA-A e454 1,Eok Blou BA-A e454 1 B Ring
1,9,moi_v1,IcyCore,W-inner,32283baf5dda26d6169c0e39e964f3b04c50f275,1,c21af9c0d7b5354c8dcf75df6541214c7ba08b00,83cf35bc5147b7c36db4299ac078c03563227ca1,false,2202.200175,4849685.610352,0.999200,Byoomi CH-P c8-2686,Byoomi CH-P c8-2686 2,Byoomi CH-P c8-2686 2 C Ring
1,10,moi_v1,IcyCore,W-inner,32283baf5dda26d6169c0e39e964f3b04c50f275,1,c21af9c0d7b5354c8dcf75df6541214c7ba08b00,63b56281ace3f459ca389fb047435981622607ff,false,2222.892089,4941249.239258,0.999889,Eok Blou AA-A h261,Eok Blou AA-A h261 1,Eok Blou AA-A h261 1 B Ring
1,11,moi_v1,IcyCore,W-inner,32283baf5dda26d6169c0e39e964f3b04c50f275,1,c21af9c0d7b5354c8dcf75df6541214c7ba08b00,00d1b48fd75b2b877190b22c197f413180d3969b,false,2301.156673,5295322.033203,0.998601,Scheau Pra VO-Z e915,Scheau Pra VO-Z e915 2,Scheau Pra VO-Z e915 2 C Ring
1,12,moi_v1,IcyCore,W-inner,32283baf5dda26d6169c0e39e964f3b04c50f275,1,c21af9c0d7b5354c8dcf75df6541214c7ba08b00,65173a9b8bb8631e939242ebb4af85764ebcda86,false,2499.357016,6246785.494141,0.999804,Byoomi AL-B b19-85,Byoomi AL-B b19-85 2,Byoomi AL-B b19-85 2 C Ring
1,13,moi_v1,IcyCore,W-inner,32283baf5dda26d6169c0e39e964f3b04c50f275,1,c21af9c0d7b5354c8dcf75df6541214c7ba08b00,6504bdba8432a8b79bd63a376602bb96b1bba33e,false,2513.385326,6317105.794922,0.998801,Nyuenooe JR-N d6-4774,Nyuenooe JR-N d6-4774 4,Nyuenooe JR-N d6-4774 4 C Ring
1,14,moi_v1,IcyCore,W-inner,32283baf5dda26d6169c0e39e964f3b04c50f275,1,c21af9c0d7b5354c8dcf75df6541214c7ba08b00,0d47daa9714ccaa16f36534114f2e000067677c3,false,2658.981103,7070180.503906,0.999923,Eok Blou AA-A g340,Eok Blou AA-A g340 C 1,Eok Blou AA-A g340 C 1 A Ring
1,15,moi_v1,IcyCore,W-inner,32283baf5dda26d6169c0e39e964f3b04c50f275,1,c21af9c0d7b5354c8dcf75df6541214c7ba08b00,0f844b834201fd21bc0c289cb1d8fb7e09459193,false,2698.960739,7284389.071289,0.999973,Eok Blou AA-A h296,Eok Blou AA-A h296 A 5,Eok Blou AA-A h296 A 5 B Ring
