cluster_id,size,centroid_x,centroid_y,centroid_z,radius_ly,moi_max,moi_median,min_ring_id
D5000_C001,958,-2559.066708,-161.761613,16683.281837,41375.003033,1.000000,0.999824,0026cc474fb2b6a8491d1c74d31fea4d2fd824e4
D5000_C002,9,-19829.781250,39.413194,-4969.840278,4857.175841,0.999967,0.999848,0061769f2507e8016d0b89d4012e2350c26e3154
D5000_C003,6,27472.494792,-327.359375,19303.182292,4898.789499,0.999989,0.999892,0de7d1e56e10e3744beda34914c674d81d0e8566
D5000_C004,4,-32199.781250,11.468750,19072.335938,5519.815872,0.999930,0.999739,056f4edc0d4e636cdce16f51633434f891e5f33f
D5000_C005,3,20154.666667,-240.802083,-11554.458333,4364.262985,0.999976,0.999975,6f2933f7f2faa4aeb5f4e0de131c008549368d12
D5000_C006,3,11105.166667,715.947917,36783.062500,2338.061551,0.999829,0.999772,76310fac1f3434805d2ab0321127339211076eb3
D5000_C007,3,-23562.781250,-64.427083,14474.958333,1560.616971,0.999778,0.999640,07e807b3c5cbfc8cfb12ada647232dcd8e37f9ac
D5000_C008,2,-2526.593750,-7.921875,62591.875000,2414.183713,0.999965,0.999775,6bce3a2a159c9cf7727da6b96caddff0a3f186d8
D5000_C009,2,28612.453125,-84.031250,29916.562500,1234.041084,0.999403,0.999295,f34cb1b9de2e6050a0a916872d59777d5b75c275
D5000_C010,1,16096.406250,179.406250,54418.718750,0.000000,0.999920,0.999920,389073aae6e21378579c4265ba9c205755b92d5d
D5000_C011,1,26216.531250,90.625000,38718.937500,0.000000,0.999916,0.999916,b39148d0478b2ec187c8971295d5e5fac364a350
D5000_C012,1,-22702.593750,-366.312500,38878.781250,0.000000,0.999781,0.999781,b0c5e23524e460c0a9bba05f4f2e7658ac518bad
D5000_C013,1,20443.906250,-674.500000,15509.187500,0.000000,0.999770,0.999770,0375ca33ef91f6557bf790bb02e9bb9ddfc1a2a2
D5000_C014,1,6780.406250,-20.406250,59577.656250,0.000000,0.999685,0.999685,4d4fac2e8e8844545e4e4914281f3b0b3a630a5b
D5000_C015,1,11127.906250,-42.250000,-14018.187500,0.000000,0.999513,0.999513,500211c14f9e3c5226d8d657fc495baf77490103
D5000_C016,1,-37575.906250,778.781250,38136.625000,0.000000,0.999505,0.999505,141a2ebe1b301c5ecac248daf86db271cadee71d
D5000_C017,1,29280.812500,121.625000,9668.656250,0.000000,0.999059,0.999059,9870a8ddf405cee195e76512269a2c97c0d025cb
D5000_C018,1,13952.875000,-466.531250,59507.250000,0.000000,0.998747,0.998747,a0f3a3cb7c07b8ac559adc5ae688f59e101ca8d9
D5000_C019,1,17508.937500,-1070.187500,37578.562500,0.000000,0.998524,0.998524,cf5f76e90e1ef3d82da7fcd672571f2d0c0e22f8
