cluster_id,ring_id,moi_metric,system_name,body_name,ring_name,x,y,z,rank
D5000_C001,c68bb424be0654f8f4b215feff6e1870ada96a87,1.000000,Stranaea EG-Y g1436,Stranaea EG-Y g1436 AB 1,Stranaea EG-Y g1436 AB 1 A Ring,-4773.687500,1430.968750,19289.468750,1
D5000_C001,6356b533fe3d0a17b86108e5d5e51395906ac223,1.000000,Egnaimt AA-A h373,Egnaimt AA-A h373 BC 1,Egnaimt AA-A h373 BC 1 B Ring,4399.562500,1764.000000,22309.968750,2
D5000_C001,a5e22c7a4cfcbc0cfe6def77ca984d90577daad1,0.999998,Phoi Phyloea AA-A h193,Phoi Phyloea AA-A h193 AB 3,Phoi Phyloea AA-A h193 AB 3 B Ring,-5524.156250,2415.187500,33981.812500,3
D5000_C001,ce399b12b5ba24f9e3f955c10fe15da1dccbde5d,0.999998,Phoi Phyloea AA-A h193,Phoi Phyloea AA-A h193 AB 1,Phoi Phyloea AA-A h193 AB 1 B Ring,-5524.156250,2415.187500,33981.812500,4
D5000_C001,950f915a00234727abab1985d6d71ad6fa86791e,0.999997,Rothie AA-A h499,Rothie AA-A h499 AB 2,Rothie AA-A h499 AB 2 B Ring,-2073.593750,-1342.218750,29941.187500,5
D5000_C001,cf299026246b0a5a19b1bb2fcdd89c4d51497bf9,0.999996,Eor Audst AA-A h227,Eor Audst AA-A h227 AB 6,Eor Audst AA-A h227 AB 6 A Ring,-5062.031250,2438.187500,20602.843750,6
D5000_C001,b9b51eb0951ae1cee56862c9256617d187b1b7f0,0.999996,Eor Audst AA-A h227,Eor Audst AA-A h227 AB 7,Eor Audst AA-A h227 AB 7 B Ring,-5062.031250,2438.187500,20602.843750,7
D5000_C001,1896601ba12067dee35160bb99405689539fe654,0.999996,Eachaiv AA-A h26,Eachaiv AA-A h26 AB 2,Eachaiv AA-A h26 AB 2 A Ring,3166.281250,-1587.250000,23763.656250,8
D5000_C001,f1ac9a8edbeaa761492ab33dcd8bb4f6733a9e98,0.999995,Phoi Aurb AA-A h241,Phoi Aurb AA-A h241 AB 2,Phoi Aurb AA-A h241 AB 2 A Ring,5048.656250,1327.312500,26179.812500,9
D5000_C001,89292c26401e586963a1948ec40b0129e0eb66e6,0.999995,Prua Phoe CI-Q d6-1109,Prua Phoe CI-Q d6-1109 10,Prua Phoe CI-Q d6-1109 10 C Ring,-6290.593750,-112.687500,11049.500000,10
D5000_C001,2bd202f2013e2709b26d34e842e109890f4c3eeb,0.999995,Eor Audst AA-A h227,Eor Audst AA-A h227 AB 1,Eor Audst AA-A h227 AB 1 B Ring,-5062.031250,2438.187500,20602.843750,11
D5000_C001,c091bee2e480a60a48a629cb1e19d6f02c099542,0.999995,Hypuae Ain BW-B c27-13,Hypuae Ain BW-B c27-13 4,Hypuae Ain BW-B c27-13 4 B Ring,969.937500,202.562500,-5015.156250,12
D5000_C001,67ec9f75879658a1b34ddca77b43ce403f46800a,0.999994,Rothie AA-A h499,Rothie AA-A h499 AB 3,Rothie AA-A h499 AB 3 B Ring,-2073.593750,-1342.218750,29941.187500,13
D5000_C001,f3c92951d76ce7a0325e4c064e3033fc36803b53,0.999993,Plio Eurl RW-U c16-16,Plio Eurl RW-U c16-16 4,Plio Eurl RW-U c16-16 4 C Ring,2414.218750,108.937500,-343.812500,14
D5000_C001,691c6985184dea80f6c95936ddf986082c33d762,0.999992,Blua Hypue UH-G c25-32,Blua Hypue UH-G c25-32 9,Blua Hypue UH-G c25-32 9 C Ring,-4755.843750,-889.593750,12826.343750,15
D5000_C001,5c2b10327edce28bd74c3956fdb5ce9d0bb51635,0.999990,Yoqeia XM-H d11-16,Yoqeia XM-H d11-16 5,Yoqeia XM-H d11-16 5 C Ring,11699.406250,-174.781250,17858.437500,16
D5000_C001,fb347f28ea7a16a662c0c976d0c8650a0c5932c3,0.999990,Flyua Dryoae DM-K d9-0,Flyua Dryoae DM-K d9-0 4,Flyua Dryoae DM-K d9-0 4 C Ring,2096.718750,-413.843750,-256.187500,17
D5000_C001,ca18b1513e408335612355d76ae86ade2629413e,0.999987,Eoch Flyuae EL-F c11-41,Eoch Flyuae EL-F c11-41 4,Eoch Flyuae EL-F c11-41 4 C Ring,-8440.281250,-1163.875000,17356.687500,19
D5000_C001,152531e2fc719b7ba916c90934b6e2f544c9ce90,0.999985,Eol Prou TH-C c13-71,Eol Prou TH-C c13-71 8,Eol Prou TH-C c13-71 8 B Ring,-9281.125000,-1079.843750,19990.593750,20
D5000_C001,aa91b6ff332ab065c79fef6127307681af11bab7,0.999985,Gludgoe TV-X c1-1,Gludgoe TV-X c1-1 2,Gludgoe TV-X c1-1 2 B Ring,-5459.312500,273.781250,-4806.718750,21
D5000_C001,afcfd076a52e064ff962d9664b84c946823f3575,0.999985,Shreia Eaescs IT-O d7-0,Shreia Eaescs IT-O d7-0 6,Shreia Eaescs IT-O d7-0 6 B Ring,-13658.062500,-2656.437500,9823.843750,22
D5000_C001,ac951da33a5ff1d8fc46e02f8013ec514dcc3ba8,0.999984,Pyriveae PJ-Q c21-10,Pyriveae PJ-Q c21-10 5,Pyriveae PJ-Q c21-10 5 C Ring,-1279.125000,-257.781250,54895.156250,23
D5000_C001,807255aceec37f15968f51fddc82cbc5e1820bdd,0.999984,Aucopp IH-N c22-6,Aucopp IH-N c22-6 3,Aucopp IH-N c22-6 3 C Ring,-2537.593750,-517.312500,2464.968750,24
D5000_C001,6286a122073c55f99e2931d194f83e410bf322a4,0.999984,Eok Blao VL-K c22-5,Eok Blao VL-K c22-5 5,Eok Blao VL-K c22-5 5 C Ring,10648.218750,-1122.187500,28069.593750,25
D5000_C001,af6ab76d6406479c8e81497388c36597810d72ea,0.999983,Smoje LI-A c14-4,Smoje LI-A c14-4 AB 6,Smoje LI-A c14-4 AB 6 C Ring,1681.625000,135.468750,3399.875000,26
D5000_C001,ffff5442458bfae694641e26d9aec4a2ed83a26c,0.999983,Skaude VA-M d8-37,Skaude VA-M d8-37 B 7,Skaude VA-M d8-37 B 7 C Ring,-4716.437500,-436.687500,9938.812500,27
D5000_C001,798a0c8e00010552b5720dde9ff6bbe723c9db5a,0.999983,Greae Bli VF-Y c17-40,Greae Bli VF-Y c17-40 3,Greae Bli VF-Y c17-40 3 B Ring,2485.406250,-78.625000,54754.625000,28
D5000_C001,feba4a1548d82a348a7df6d7f04d3bf22c195c97,0.999983,Nuekuae KE-N c21-23,Nuekuae KE-N c21-23 11,Nuekuae KE-N c21-23 11 C Ring,-5904.031250,-942.437500,13963.375000,29
D5000_C001,73695aab05d729bbe1bba8f69c56ae1802cfdcd7,0.999983,Gru Drye BN-Q c6-0,Gru Drye BN-Q c6-0 2,Gru Drye BN-Q c6-0 2 C Ring,-7593.687500,-671.750000,5621.406250,30
D5000_C001,d1f57f1edc49b4a4a8cae495918e790319504507,0.999982,Dryoea Flyi AA-A g208,Dryoea Flyi AA-A g208 AB 1,Dryoea Flyi AA-A g208 AB 1 B Ring,-4555.218750,-1086.156250,18319.093750,31
D5000_C001,b4928e7fed5ef42d0de69253402cbe5c8b2616e5,0.999982,Synuefe QU-N d7-19,Synuefe QU-N d7-19 9,Synuefe QU-N d7-19 9 B Ring,315.781250,-431.031250,-371.781250,32
D5000_C001,1a5f658d55a8457c9a0aaf0fdb19089f4cd8d002,0.999982,Floadue JD-H d11-38,Floadue JD-H d11-38 4,Floadue JD-H d11-38 4 C Ring,7284.843750,-269.718750,15271.375000,33
D5000_C001,8d18be87b3a2508a94d2ebc1de5bc6f338d4aff8,0.999982,Greou Dryiae TK-A c16-5,Greou Dryiae TK-A c16-5 7,Greou Dryiae TK-A c16-5 7 B Ring,16227.906250,-366.031250,6049.156250,34
D5000_C001,3c4204af585cf3b9bef45f8f4238c70b49cab90f,0.999982,Blo Aescs QR-V c18-17,Blo Aescs QR-V c18-17 6,Blo Aescs QR-V c18-17 6 C Ring,-7184.968750,1047.437500,12571.343750,35
D5000_C001,8853bff849dacb5c57248d893538c19acd7dec22,0.999982,Slegiae MJ-X c2-2,Slegiae MJ-X c2-2 4,Slegiae MJ-X c2-2 4 C Ring,-7639.375000,-728.500000,-3474.687500,36
D5000_C001,cf66bafc44053ca8891ae4e8e6e387b7fb12ab1a,0.999981,Dryau Aowsy ZE-R d4-8212,Dryau Aowsy ZE-R d4-8212 9,Dryau Aowsy ZE-R d4-8212 9 B Ring,356.562500,22.593750,18561.125000,37
D5000_C001,aac8b52728e4605c08a4014a89a539ee1bc96a88,0.999981,Eord Prau OQ-Q c20-49,Eord Prau OQ-Q c20-49 5,Eord Prau OQ-Q c20-49 5 B Ring,5616.187500,-583.656250,20304.843750,38
D5000_C001,b5c3a273f396b2427df9379038fe3be13956f2a9,0.999981,Smojue RL-F c11-1,Smojue RL-F c11-1 5,Smojue RL-F c11-1 5 B Ring,-230.375000,101.937500,3290.812500,39
D5000_C001,1dc3329c772ca1efe817f2c0f424c16cf9423da6,0.999981,Chraufao HP-G c11-0,Chraufao HP-G c11-0 6,Chraufao HP-G c11-0 6 A Ring,-4006.406250,368.906250,1989.281250,40
D5000_C001,264ee554852289d3e356bff5e5690634bf5e7546,0.999981,Blaa Drye GS-R d5-49,Blaa Drye GS-R d5-49 12,Blaa Drye GS-R d5-49 12 C Ring,-8468.343750,-273.281250,4541.687500,41
D5000_C001,b5b81c0400e462d567594d474d48aee702e25e21,0.999981,Dryio Flyuae YJ-R e4-838,Dryio Flyuae YJ-R e4-838 1,Dryio Flyuae YJ-R e4-838 1 C Ring,-8037.625000,-1031.437500,19006.968750,42
D5000_C001,bbf928ca5e2926177bdea57848ea51397c9ed23d,0.999980,Agnainks CH-U e3-3432,Agnainks CH-U e3-3432 2,Agnainks CH-U e3-3432 2 C Ring,-2579.812500,-99.687500,22648.250000,43
D5000_C001,3672ce077cc0bb19679ad48bdd5c2b2f93a46b0f,0.999980,Eorld Pri PS-R d5-177,Eorld Pri PS-R d5-177 9,Eorld Pri PS-R d5-177 9 B Ring,-100.718750,-296.031250,19900.531250,44
D5000_C001,52295785a7569f271504604214c08d7ece91d424,0.999980,Traikaae KI-G c25-2,Traikaae KI-G c25-2 5,Traikaae KI-G c25-2 5 C Ring,-265.093750,380.718750,5161.843750,45
D5000_C001,778717f53bc2317ae436aae69292a43975bd5adf,0.999979,Blua Eaec BX-L b8-12,Blua Eaec BX-L b8-12 4,Blua Eaec BX-L b8-12 4 C Ring,-7027.187500,-1113.531250,14490.250000,46
D5000_C001,54fdc8639b4f5cad9abeefcb57574227fc653133,0.999979,Pru Euq YY-L b49-1,Pru Euq YY-L b49-1 3,Pru Euq YY-L b49-1 3 C Ring,-143.968750,119.750000,1277.031250,47
D5000_C001,0c7500ebfed2ff11c9eb6e09f0a4bebe68f5f01c,0.999979,Gru Hypai EQ-W d2-49,Gru Hypai EQ-W d2-49 4,Gru Hypai EQ-W d2-49 4 A Ring,3505.156250,-460.406250,13283.250000,48
D5000_C001,82ebf2169b2c0776b9d0b788177b49dee2d4a4a5,0.999979,Egnaimt AA-A h373,Egnaimt AA-A h373 BC 2,Egnaimt AA-A h373 BC 2 A Ring,4399.562500,1764.000000,22309.968750,49
D5000_C001,5a5e2d99f28ab84c60b86c752ceb41ae1060420a,0.999979,Smoje GX-B d1,Smoje GX-B d1 10,Smoje GX-B d1 10 C Ring,1218.000000,781.187500,2789.468750,50
D5000_C001,6ec8bf9b5afce6c7fe115a014a00505a2c450b3c,0.999978,Dryooe Flyou LB-W d2-2800,Dryooe Flyou LB-W d2-2800 8,Dryooe Flyou LB-W d2-2800 8 B Ring,-9187.625000,-712.750000,18414.687500,51
D5000_C001,c936c7a5fe2ebf173e8b43f5493717f2076fa184,0.999978,Eord Flyuae OM-C d129,Eord Flyuae OM-C d129 6,Eord Flyuae OM-C d129 6 A Ring,-6608.843750,-213.218750,16880.687500,52
D5000_C001,f4d9fe86ff3b8bad2e78ac1bf343dca020b0a2cb,0.999978,Skombeou BF-A f362,Skombeou BF-A f362 1,Skombeou BF-A f362 1 C Ring,-8017.656250,1680.593750,28480.312500,53
D5000_C001,9a8369a9a49135cfff9a7193a65c377051fd1bb9,0.999978,Blua Flyi CF-O c7-0,Blua Flyi CF-O c7-0 8,Blua Flyi CF-O c7-0 8 B Ring,-4381.906250,-824.875000,42777.312500,54
D5000_C001,415e910e3cfd0786a8d273355bf86cedb6ed8f1a,0.999978,Pyramio UG-S d5-238,Pyramio UG-S d5-238 10,Pyramio UG-S d5-238 10 C Ring,9.906250,-45.625000,5887.781250,55
D5000_C001,e5e2786d433fc062e09ad58608b6d437d1eff3b3,0.999977,Chraufao TN-L b23-0,Chraufao TN-L b23-0 2,Chraufao TN-L b23-0 2 C Ring,-4999.562500,360.062500,1997.625000,56
D5000_C001,805662982412f9e77dc2a5dc24cc373d809dc07c,0.999977,Skaude KK-D d13-211,Skaude KK-D d13-211 5,Skaude KK-D d13-211 5 C Ring,-4991.031250,-410.312500,10343.343750,57
D5000_C001,850dea21940a3be5dd1ea16f984e228fe3a6aff9,0.999977,NGC 4463 Sector HH-A c15-0,NGC 4463 Sector HH-A c15-0 9,NGC 4463 Sector HH-A c15-0 9 C Ring,3258.593750,-140.281250,1858.406250,58
D5000_C001,2e8d68a8bd86f0517d90e1e19cfb016ee83d739b,0.999977,Syriviae DB-A c17,Syriviae DB-A c17 7,Syriviae DB-A c17 7 C Ring,4950.375000,-23.406250,54010.468750,59
D5000_C001,de7be80df2d52addbf1d0fc7719d79a48f132247,0.999976,Wredguia IG-V c16-4,Wredguia IG-V c16-4 A 6,Wredguia IG-V c16-4 A 6 C Ring,-348.968750,176.812500,-324.187500,60
D5000_C001,5d00b98c9e5210236f49dd56b2762f6d68c29115,0.999976,Byoi Aewsy SB-S c18-151,Byoi Aewsy SB-S c18-151 9,Byoi Aewsy SB-S c18-151 9 C Ring,-6281.812500,290.593750,13844.562500,61
D5000_C001,325767de7deb2cbaa21ba40f5739070a71ac5bf5,0.999976,Juemee AA-A f1280,Juemee AA-A f1280 3,Juemee AA-A f1280 3 B Ring,-10147.906250,-1263.281250,25861.968750,62
