cluster_id,ring_id,rank,moi,system_name,body_name,ring_name,x,y,z,dist_to_centroid_ly
K14_C01,f3c92951d76ce7a0325e4c064e3033fc36803b53,14,0.999993,Plio Eurl RW-U c16-16,Plio Eurl RW-U c16-16 4,Plio Eurl RW-U c16-16 4 C Ring,2414.218750,108.937500,-343.812500,3156.761259
K14_C01,fb347f28ea7a16a662c0c976d0c8650a0c5932c3,17,0.999990,Flyua Dryoae DM-K d9-0,Flyua Dryoae DM-K d9-0 4,Flyua Dryoae DM-K d9-0 4 C Ring,2096.718750,-413.843750,-256.187500,3022.461774
K14_C01,af6ab76d6406479c8e81497388c36597810d72ea,26,0.999983,Smoje LI-A c14-4,Smoje LI-A c14-4 AB 6,Smoje LI-A c14-4 AB 6 C Ring,1681.625000,135.468750,3399.875000,747.006874
K14_C01,b5c3a273f396b2427df9379038fe3be13956f2a9,39,0.999981,Smojue RL-F c11-1,Smojue RL-F c11-1 5,Smojue RL-F c11-1 5 B Ring,-230.375000,101.937500,3290.812500,1859.519448
K14_C01,52295785a7569f271504604214c08d7ece91d424,45,0.999980,Traikaae KI-G c25-2,Traikaae KI-G c25-2 5,Traikaae KI-G c25-2 5 C Ring,-265.093750,380.718750,5161.843750,3081.002908
K14_C01,54fdc8639b4f5cad9abeefcb57574227fc653133,47,0.999979,Pru Euq YY-L b49-1,Pru Euq YY-L b49-1 3,Pru Euq YY-L b49-1 3 C Ring,-143.968750,119.750000,1277.031250,2184.596720
K14_C01,5a5e2d99f28ab84c60b86c752ceb41ae1060420a,50,0.999979,Smoje GX-B d1,Smoje GX-B d1 10,Smoje GX-B d1 10 C Ring,1218.000000,781.187500,2789.468750,847.417649
K14_C01,415e910e3cfd0786a8d273355bf86cedb6ed8f1a,55,0.999978,Pyramio UG-S d5-238,Pyramio UG-S d5-238 10,Pyramio UG-S d5-238 10 C Ring,9.906250,-45.625000,5887.781250,3544.874699
K14_C01,850dea21940a3be5dd1ea16f984e228fe3a6aff9,58,0.999977,NGC 4463 Sector HH-A c15-0,NGC 4463 Sector HH-A c15-0 9,NGC 4463 Sector HH-A c15-0 9 C Ring,3258.593750,-140.281250,1858.406250,1925.628793
K14_C01,ace8d93c969db0dcc38aeddcc4bb5df65a12e93b,73,0.999975,Pro Eur XE-R c20-1,Pro Eur XE-R c20-1 ABC 1,Pro Eur XE-R c20-1 ABC 1 B Ring,3898.125000,828.625000,1098.906250,2972.455221
K14_C01,cc753c01f5f062fcba8b119475dddea36fac1f1c,77,0.999974,Byaa Theia BK-C c27-2,Byaa Theia BK-C c27-2 6,Byaa Theia BK-C c27-2 6 B Ring,2709.531250,295.218750,3966.281250,1772.441892
K14_C01,05978299282977c433d1f2af31e45f47a7e5031c,80,0.999974,Prieleau WF-R c4-7,Prieleau WF-R c4-7 3,Prieleau WF-R c4-7 3 C Ring,4898.062500,-18.250000,8116.625000,6396.291448
K14_C01,2519471757235af1d5a8915276b63df5d9ccf057,87,0.999972,Flyua Hype AW-E c11-0,Flyua Hype AW-E c11-0 7,Flyua Hype AW-E c11-0 7 B Ring,3971.468750,-1298.812500,7115.718750,5227.243307
K14_C01,789ae8c3a7adb58422da19fdc7c62a8aa0dfa136,88,0.999972,Byoi Thae AD-Z c14-3,Byoi Thae AD-Z c14-3 6,Byoi Thae AD-Z c14-3 6 A Ring,3889.375000,275.687500,3439.625000,2499.121782
K14_C01,97aa16955f253de665be1b801cb1058a2cbaa168,91,0.999972,Prua Dryoae WV-B c1-1,Prua Dryoae WV-B c1-1 4,Prua Dryoae WV-B c1-1 4 B Ring,1378.906250,-544.593750,255.812500,2491.103573
K14_C01,41fa030ab7cb30e9b09d953f4ebc167643a2d1a5,108,0.999968,Blu Euq UD-I c23-13,Blu Euq UD-I c23-13 8,Blu Euq UD-I c23-13 8 C Ring,990.031250,33.375000,5057.750000,2434.504157
K14_C01,63373206ae49d3fa3adc0b9a0f5492c8f2f69481,128,0.999962,Thaila PC-V c18-22,Thaila PC-V c18-22 6,Thaila PC-V c18-22 6 C Ring,5354.125000,-372.906250,4863.375000,4423.097489
K14_C01,94046da6e1e9d5c4037d240952b46a35c1baf5a6,139,0.999959,Aucoks WA-S c6-2,Aucoks WA-S c6-2 4,Aucoks WA-S c6-2 4 C Ring,527.468750,-363.031250,1796.656250,1381.439891
