rank,ring_id,moi_metric,system_name,body_name,ring_name,x,y,z,theta_deg
2,6356b533fe3d0a17b86108e5d5e51395906ac223,1.000000,Egnaimt AA-A h373,Egnaimt AA-A h373 BC 1,Egnaimt AA-A h373 BC 1 B Ring,4399.562500,1764.000000,22309.968750,-39.375539
8,1896601ba12067dee35160bb99405689539fe654,0.999996,Eachaiv AA-A h26,Eachaiv AA-A h26 AB 2,Eachaiv AA-A h26 AB 2 A Ring,3166.281250,-1587.250000,23763.656250,-34.220566
9,f1ac9a8edbeaa761492ab33dcd8bb4f6733a9e98,0.999995,Phoi Aurb AA-A h241,Phoi Aurb AA-A h241 AB 2,Phoi Aurb AA-A h241 AB 2 A Ring,5048.656250,1327.312500,26179.812500,3.188516
16,5c2b10327edce28bd74c3956fdb5ce9d0bb51635,0.999990,Yoqeia XM-H d11-16,Yoqeia XM-H d11-16 5,Yoqeia XM-H d11-16 5 C Ring,11699.406250,-174.781250,17858.437500,-34.560239
18,c1853b8515ea731fb733b07a4fb54e87a936059b,0.999989,Phrauph AX-R d5-37,Phrauph AX-R d5-37 BC 4,Phrauph AX-R d5-37 BC 4 C Ring,27002.031250,-244.812500,21251.812500,-9.776181
25,6286a122073c55f99e2931d194f83e410bf322a4,0.999984,Eok Blao VL-K c22-5,Eok Blao VL-K c22-5 5,Eok Blao VL-K c22-5 5 C Ring,10648.218750,-1122.187500,28069.593750,11.543246
49,82ebf2169b2c0776b9d0b788177b49dee2d4a4a5,0.999979,Egnaimt AA-A h373,Egnaimt AA-A h373 BC 2,Egnaimt AA-A h373 BC 2 A Ring,4399.562500,1764.000000,22309.968750,-39.375539
75,02f76993dc824e116bb60aab6379e65ee1ba4544,0.999974,Eok Blao UF-N d7-377,Eok Blao UF-N d7-377 B 3,Eok Blao UF-N d7-377 B 3 C Ring,10346.218750,-714.968750,27768.937500,10.264126
90,8c3ad4aceb6c15b7f8e2063587cff08edeef5d42,0.999972,Eoch Grea IR-W f1-45,Eoch Grea IR-W f1-45 3,Eoch Grea IR-W f1-45 3 C Ring,4687.187500,-2022.281250,30513.250000,44.699247
107,32e7783b3257e833356de598c017e571e697f8f0,0.999968,Athair GG-Y f1100,Athair GG-Y f1100 1,Athair GG-Y f1100 1 B Ring,7215.218750,-1033.781250,22603.687500,-24.629258
116,59aa3428e87b33078f6b9e45f73963d7995a8f2c,0.999964,Myumbao JR-W f1-114,Myumbao JR-W f1-114 1,Myumbao JR-W f1-114 1 C Ring,3552.375000,-1967.312500,22800.312500,-41.308926
119,7ad95206730247a987327a510e0a2168d24f78bb,0.999963,Shrogaae MR-U c16-479,Shrogaae MR-U c16-479 4,Shrogaae MR-U c16-479 4 B Ring,4694.781250,92.812500,21440.156250,-43.683845
125,17f393dc5e41d438f66be01a37646fde5d243f60,0.999962,Eok Blao AA-A f2,Eok Blao AA-A f2 2,Eok Blao AA-A f2 2 B Ring,10420.843750,-1008.906250,27192.156250,7.085584
135,6b8643f3320cfaee6bf9c997edd476e4c2d04ef2,0.999959,Eachaiv AA-A h404,Eachaiv AA-A h404 C 2,Eachaiv AA-A h404 C 2 A Ring,3239.031250,-2016.875000,23803.843750,-33.113347
147,e1a521bc63f109c7ed514c6ad463679fbc506aa4,0.999957,Phrio Prue QO-Z e1973,Phrio Prue QO-Z e1973 2,Phrio Prue QO-Z e1973 2 B Ring,1216.312500,-1346.718750,26086.343750,8.893178
148,031e2e1567bdc47b59b731f60bd9fe83cdc60f1e,0.999957,Hypiae Aug OS-U f2-3258,Hypiae Aug OS-U f2-3258 1,Hypiae Aug OS-U f2-3258 1 B Ring,1945.750000,1411.406250,25745.406250,-4.601192
153,22ad96f5685155e5e025b67fdb6ed5f072cb6c68,0.999955,Eoch Byoea DA-A f2655,Eoch Byoea DA-A f2655 A 2,Eoch Byoea DA-A f2655 A 2 C Ring,4890.968750,-1229.250000,29892.125000,39.367530
170,d0985fc3465a8f7a363a2acb425c5ff2ab1a03e9,0.999951,Umbaists AA-A g124,Umbaists AA-A g124 1,Umbaists AA-A g124 1 B Ring,5066.656250,-903.750000,29656.906250,36.693905
172,b5d27cc47d3fef7cf5272ccfaecda30d85249d73,0.999951,Kyloae Prau FB-X f1-1,Kyloae Prau FB-X f1-1 2,Kyloae Prau FB-X f1-1 2 C Ring,4928.593750,-2736.843750,26657.187500,8.778730
173,4c70239a0f7e2452cc1acb8602f4acd68f8c8e47,0.999950,Kyloalz FG-Y g7,Kyloalz FG-Y g7 4,Kyloalz FG-Y g7 4 A Ring,9828.093750,-812.937500,21861.000000,-22.392582
185,e0e8bb81b09e0c9306ad8e3d5db8a09be91d682e,0.999947,Phaa Aug FR-V e2-131,Phaa Aug FR-V e2-131 2,Phaa Aug FR-V e2-131 2 A Ring,3134.187500,2178.625000,26315.406250,7.611090
200,161fe4f84d112ecc5374862e765988ec83069cc7,0.999943,Croomae OS-U f2-272,Croomae OS-U f2-272 1,Croomae OS-U f2-272 1 C Ring,3172.250000,1309.625000,25605.531250,-5.345056
209,d6985e87b62557a089027bb995835b625582f92d,0.999942,Systimbie AA-A g246,Systimbie AA-A g246 A 5,Systimbie AA-A g246 A 5 B Ring,2742.093750,-1092.625000,27129.281250,24.345466
221,d130e382570a963ff8646d0d7814a20785c6df1b,0.999939,Eorl Phyloi IR-W f1-221,Eorl Phyloi IR-W f1-221 2,Eorl Phyloi IR-W f1-221 2 C Ring,2130.718750,1714.156250,27762.656250,41.498450
226,4f22e5ad5316eaf0c0e3a7b7b442fabda9512418,0.999935,Phaa Aoc GI-M c7-1672,Phaa Aoc GI-M c7-1672 2,Phaa Aoc GI-M c7-1672 2 C Ring,3713.781250,62.281250,23596.625000,-31.982950
244,97ee3e9203787aa7b39686a0d8932b5c4f08a7c0,0.999931,Blia Aip WY-S d3-14,Blia Aip WY-S d3-14 5,Blia Aip WY-S d3-14 5 B Ring,26076.468750,48.593750,14622.593750,-23.407395
247,0026cc474fb2b6a8491d1c74d31fea4d2fd824e4,0.999930,Byoomeae PS-U f2-4302,Byoomeae PS-U f2-4302 2,Byoomeae PS-U f2-4302 2 B Ring,3557.187500,-1091.500000,25731.937500,-2.723758
284,d9fb05c98c73d083e06176b553ab701759bb46f1,0.999918,Eachaitts JH-V f2-2551,Eachaitts JH-V f2-2551 2,Eachaitts JH-V f2-2551 2 B Ring,2247.812500,-1400.906250,24389.000000,-34.208739
289,a4be8c0f73df9eccca548369293b29425981f733,0.999917,Eord Blao VE-R e4-3308,Eord Blao VE-R e4-3308 A 1,Eord Blao VE-R e4-3308 A 1 C Ring,5219.781250,-1244.312500,27993.093750,21.946743
291,b39148d0478b2ec187c8971295d5e5fac364a350,0.999916,Prie Aod SE-S b4-0,Prie Aod SE-S b4-0 ABC 1,Prie Aod SE-S b4-0 ABC 1 A Ring,26216.531250,90.625000,38718.937500,26.078786
293,ea8c3c63de65cdd985e50e49afd5c2226342e0a1,0.999915,Chanaea OH-M c10-0,Chanaea OH-M c10-0 6,Chanaea OH-M c10-0 6 A Ring,29558.656250,-99.125000,18592.562500,-13.897476
295,ea365baf88ae8feb21f986b5413c18887e539c6d,0.999914,Croomae AA-A g63,Croomae AA-A g63 A 1,Croomae AA-A g63 A 1 C Ring,3012.281250,1711.062500,24859.125000,-19.210923
313,1a7163a235f805934070674e5274325c0b943d48,0.999909,Scheau Ploe OS-U f2-4305,Scheau Ploe OS-U f2-4305 1,Scheau Ploe OS-U f2-4305 1 B Ring,4491.625000,-1090.625000,23018.125000,-32.831181
331,4379e12d587902355a7823b075cd5e7bd115397d,0.999899,Phrio Prue MI-B e1612,Phrio Prue MI-B e1612 2,Phrio Prue MI-B e1612 2 B Ring,1215.218750,-1332.156250,25888.000000,-0.576249
347,5dc4f1dd2bfd5e3cb9953af553ddf7df5ad5cdcc,0.999890,Eorld Blao JB-U c4-33,Eorld Blao JB-U c4-33 5,Eorld Blao JB-U c4-33 5 B Ring,9675.781250,-701.500000,27303.812500,8.276623
367,0495b39763b857c94f0daea0d277fb36f58e5963,0.999882,Phipaa ZJ-Z e9877,Phipaa ZJ-Z e9877 2,Phipaa ZJ-Z e9877 2 A Ring,2484.781250,1025.218750,27306.187500,29.758129
386,9b1866479763ebc0dc003e7b9d2c2d97efedf3b0,0.999873,Eor Phyloi AA-A h534,Eor Phyloi AA-A h534 B 2,Eor Phyloi AA-A h534 B 2 C Ring,3696.437500,1988.906250,27383.812500,22.007715
399,0de7d1e56e10e3744beda34914c674d81d0e8566,0.999869,Shumbeia OM-G c25-0,Shumbeia OM-G c25-0 9,Shumbeia OM-G c25-0 9 C Ring,27057.406250,-854.437500,23089.343750,-5.935901
413,2b74ab1642213f494cfb31025b744f58746d016d,0.999861,Blia Aim SJ-I d9-184,Blia Aim SJ-I d9-184 AB 1,Blia Aim SJ-I d9-184 AB 1 C Ring,13121.625000,-22.750000,15111.781250,-39.480050
416,a0387a060884514d9ab5b150dbeb4fabf11b1f80,0.999859,Egnaimt HG-Y f22,Egnaimt HG-Y f22 1,Egnaimt HG-Y f22 1 B Ring,4897.968750,1549.093750,22312.937500,-36.358310
426,5a56e0c6a2040c8f9680f3e477f7e5ee4c474335,0.999856,Eotchops FG-Y g1550,Eotchops FG-Y g1550 B 1,Eotchops FG-Y g1550 B 1 B Ring,3262.250000,1300.531250,24167.875000,-28.150662
432,cce5f198f43b78dd30e558bd826041f9297a4304,0.999852,Phreia Pri PQ-U b17-0,Phreia Pri PQ-U b17-0 4,Phreia Pri PQ-U b17-0 4 B Ring,16076.593750,-1079.781250,26213.312500,1.118346
434,93178ae62fd63e6f5de97401daffa565a682fd6f,0.999850,Phoi Aug SJ-Z e90,Phoi Aug SJ-Z e90 1,Phoi Aug SJ-Z e90 1 B Ring,1255.843750,2339.781250,26054.906250,7.175867
444,4cb10e9c9316c0fbcd79a1e6c12096b77e0563f5,0.999848,Lyrongou GG-Y f846,Lyrongou GG-Y f846 3,Lyrongou GG-Y f846 3 B Ring,7245.500000,1392.875000,26150.218750,1.985038
447,b31ddc4ac43386420f8029d2dd667348c34698aa,0.999846,Meamoea HH-K c9-1,Meamoea HH-K c9-1 4,Meamoea HH-K c9-1 4 A Ring,27363.281250,-869.531250,19844.968750,-12.488608
450,1ae1753ba75271ac0b8c132f4c3b3ea13e65cab3,0.999843,Systipoea GD-H d11-113,Systipoea GD-H d11-113 B 8,Systipoea GD-H d11-113 B 8 A Ring,17251.218750,-334.093750,28115.750000,7.329711
475,cd4412ca8c79bcb037a7c0fdfd1fce37ae1f626a,0.999834,Scheau Prue FB-W e2-2398,Scheau Prue FB-W e2-2398 3,Scheau Prue FB-W e2-2398 3 B Ring,2478.500000,-1450.843750,25046.218750,-19.188066
