rank,ring_id,moi_metric,system_name,body_name,ring_name,x,y,z,theta_deg
3,a5e22c7a4cfcbc0cfe6def77ca984d90577daad1,0.999998,Phoi Phyloea AA-A h193,Phoi Phyloea AA-A h193 AB 3,Phoi Phyloea AA-A h193 AB 3 B Ring,-5524.156250,2415.187500,33981.812500,124.475329
4,ce399b12b5ba24f9e3f955c10fe15da1dccbde5d,0.999998,Phoi Phyloea AA-A h193,Phoi Phyloea AA-A h193 AB 1,Phoi Phyloea AA-A h193 AB 1 B Ring,-5524.156250,2415.187500,33981.812500,124.475329
5,950f915a00234727abab1985d6d71ad6fa86791e,0.999997,Rothie AA-A h499,Rothie AA-A h499 AB 2,Rothie AA-A h499 AB 2 B Ring,-2073.593750,-1342.218750,29941.187500,117.445170
13,67ec9f75879658a1b34ddca77b43ce403f46800a,0.999994,Rothie AA-A h499,Rothie AA-A h499 AB 3,Rothie AA-A h499 AB 3 B Ring,-2073.593750,-1342.218750,29941.187500,117.445170
23,ac951da33a5ff1d8fc46e02f8013ec514dcc3ba8,0.999984,Pyriveae PJ-Q c21-10,Pyriveae PJ-Q c21-10 5,Pyriveae PJ-Q c21-10 5 C Ring,-1279.125000,-257.781250,54895.156250,92.575705
28,798a0c8e00010552b5720dde9ff6bbe723c9db5a,0.999983,Greae Bli VF-Y c17-40,Greae Bli VF-Y c17-40 3,Greae Bli VF-Y c17-40 3 B Ring,2485.406250,-78.625000,54754.625000,85.126669
54,9a8369a9a49135cfff9a7193a65c377051fd1bb9,0.999978,Blua Flyi CF-O c7-0,Blua Flyi CF-O c7-0 8,Blua Flyi CF-O c7-0 8 B Ring,-4381.906250,-824.875000,42777.312500,104.634667
59,2e8d68a8bd86f0517d90e1e19cfb016ee83d739b,0.999977,Syriviae DB-A c17,Syriviae DB-A c17 7,Syriviae DB-A c17 7 C Ring,4950.375000,-23.406250,54010.468750,80.062247
66,f0f7f1c7e685451a91b7bb1ba3b67f0fe870566a,0.999975,Praea Broae EL-P d5-58,Praea Broae EL-P d5-58 5,Praea Broae EL-P d5-58 5 B Ring,8115.812500,-5.500000,51924.281250,72.730263
68,aa7b6f3775331f909eb0fa3da27f790ac7dd62d9,0.999975,Auphaibs CB-N c7-0,Auphaibs CB-N c7-0 3,Auphaibs CB-N c7-0 3 B Ring,-1015.406250,-1053.781250,50494.468750,92.422813
70,dd54576ee552dc82e37998121f558a9bd08169b7,0.999975,Eorld Grie PZ-O e6-2141,Eorld Grie PZ-O e6-2141 2,Eorld Grie PZ-O e6-2141 2 B Ring,-3635.281250,-1370.250000,30851.375000,126.474958
71,e632aa8e73fc66fb3238af40d1b17bfedc204778,0.999975,Hyuqo GD-R d5-424,Hyuqo GD-R d5-424 A 5,Hyuqo GD-R d5-424 A 5 C Ring,-40.343750,-540.093750,35290.812500,90.400006
74,5b8b56b5c7a06b6daca63b43e165803770118e51,0.999974,Eorm Breae AL-E d12-340,Eorm Breae AL-E d12-340 2,Eorm Breae AL-E d12-340 2 C Ring,-203.968750,1881.968750,30744.500000,92.708558
81,f031e569f5d8ad96781e3aece62db4e71aee9985,0.999973,Hyuqoae NS-U f2-756,Hyuqoae NS-U f2-756 A 1,Hyuqoae NS-U f2-756 A 1 B Ring,-7213.750000,-1026.093750,35926.937500,125.827396
86,93590fce6643d1504f7db0c13526a201c7c83ec8,0.999973,Splojoea HN-I c23-239,Splojoea HN-I c23-239 9,Splojoea HN-I c23-239 9 C Ring,-1935.906250,111.375000,35813.218750,101.190259
94,1285a6b375de217b1f592d484f9ee35f8a1b8489,0.999971,Eorl Phyloi AA-A f3692,Eorl Phyloi AA-A f3692 2,Eorl Phyloi AA-A f3692 2 B Ring,1283.593750,1363.937500,27204.125000,46.023517
