rank,ring_id,moi_metric,system_name,body_name,ring_name,x,y,z,theta_deg
20,152531e2fc719b7ba916c90934b6e2f544c9ce90,0.999985,Eol Prou TH-C c13-71,Eol Prou TH-C c13-71 8,Eol Prou TH-C c13-71 8 B Ring,-9281.125000,-1079.843750,19990.593750,-147.585125
42,b5b81c0400e462d567594d474d48aee702e25e21,0.999981,Dryio Flyuae YJ-R e4-838,Dryio Flyuae YJ-R e4-838 1,Dryio Flyuae YJ-R e4-838 1 C Ring,-8037.625000,-1031.437500,19006.968750,-139.472560
51,6ec8bf9b5afce6c7fe115a014a00505a2c450b3c,0.999978,Dryooe Flyou LB-W d2-2800,Dryooe Flyou LB-W d2-2800 8,Dryooe Flyou LB-W d2-2800 8 B Ring,-9187.625000,-712.750000,18414.687500,-140.906719
53,f4d9fe86ff3b8bad2e78ac1bf343dca020b0a2cb,0.999978,Skombeou BF-A f362,Skombeou BF-A f362 1,Skombeou BF-A f362 1 C Ring,-8017.656250,1680.593750,28480.312500,162.212535
62,325767de7deb2cbaa21ba40f5739070a71ac5bf5,0.999976,Juemee AA-A f1280,Juemee AA-A f1280 3,Juemee AA-A f1280 3 B Ring,-10147.906250,-1263.281250,25861.968750,-179.785982
63,12eab04c6976182a0387b4522a810c9fce0d2c35,0.999976,Eol Flyou TP-E d12-2121,Eol Flyou TP-E d12-2121 7,Eol Flyou TP-E d12-2121 7 A Ring,-9565.625000,-602.625000,17924.218750,-140.253074
67,0d8b63368904d2709e43e035f1d8775f82ede138,0.999975,Kyloasly BA-A g1177,Kyloasly BA-A g1177 4,Kyloasly BA-A g1177 4 C Ring,-10857.156250,-847.093750,21317.468750,-157.164345
78,ad6d4fa0c426976f91f9b932052b181575211cce,0.999974,Dryio Flyuae KF-P c22-1379,Dryio Flyuae KF-P c22-1379 2,Dryio Flyuae KF-P c22-1379 2 C Ring,-8054.375000,-105.500000,19099.812500,-139.914498
79,d80ea6317eed6021ebc62a6752ed3085031bb9d9,0.999974,Hypoi Prou OM-U d3-20,Hypoi Prou OM-U d3-20 5,Hypoi Prou OM-U d3-20 5 B Ring,-14247.781250,-657.406250,24862.593750,-175.842999
83,a66ea83b7eb81462b06848a6888cb31a10ea312b,0.999973,Eorgh Prou TT-W c16-188,Eorgh Prou TT-W c16-188 8,Eorgh Prou TT-W c16-188 8 C Ring,-10576.593750,-773.312500,20136.125000,-151.468583
85,0f844b834201fd21bc0c289cb1d8fb7e09459193,0.999973,Eok Blou AA-A h296,Eok Blou AA-A h296 A 5,Eok Blou AA-A h296 A 5 B Ring,-1704.250000,-537.781250,27455.062500,138.038938
93,d6b2c303fc0622d2ba9d00e420bc291bb6023fea,0.999971,Eol Prou HK-Y c1-285,Eol Prou HK-Y c1-285 5,Eol Prou HK-Y c1-285 5 C Ring,-9537.468750,-895.750000,19513.500000,-146.262904
95,602bb2a2ef04d4c5d59599f1505d46252b362d44,0.999971,Phraa Pruae AA-A g222,Phraa Pruae AA-A g222 3,Phraa Pruae AA-A g222 3 A Ring,-2528.593750,-1284.437500,25934.718750,179.220418
96,bdecc4757e66ab5fe6566d6b28eaf640f08ea984,0.999970,Aunaihn OS-U f2-3441,Aunaihn OS-U f2-3441 2,Aunaihn OS-U f2-3441 2 B Ring,-5718.437500,1271.625000,21932.187500,-145.362855
98,ea13106340a5694ce9b806651bcc47dcd5b684be,0.999970,Dryua Bloae OX-Y c2-28,Dryua Bloae OX-Y c2-28 8,Dryua Bloae OX-Y c2-28 8 C Ring,-15870.656250,-422.156250,28512.250000,170.667596
100,04b1a1774889f49b70a0c2912b409e6cd0199a5e,0.999970,Hypoae Scrua XO-A f13,Hypoae Scrua XO-A f13 2,Hypoae Scrua XO-A f13 2 A Ring,-3924.875000,2315.000000,22033.937500,-135.616193
104,1bbe68fed72e05de8083a1735e7a41ad67d7018d,0.999969,Voqaa IH-V f2-714,Voqaa IH-V f2-714 2,Voqaa IH-V f2-714 2 B Ring,-9656.500000,-1599.968750,18005.781250,-140.807214
106,5eeb0057b2897aa1330196cece3a1eb0aac80763,0.999969,Eol Prou FG-Y g668,Eol Prou FG-Y g668 1,Eol Prou FG-Y g668 1 C Ring,-9561.531250,-695.906250,20269.187500,-149.572138
109,a46dc902667118d539e764d337984e19bc4302cc,0.999968,Spoihaae MT-X c15-0,Spoihaae MT-X c15-0 3,Spoihaae MT-X c15-0 3 B Ring,-9716.656250,-2203.000000,20131.093750,-149.367130
115,689eaef8a5ca92e4c85688db0af8a27c404c78d3,0.999964,Hypo Fruia GN-Q b35-0,Hypo Fruia GN-Q b35-0 8,Hypo Fruia GN-Q b35-0 8 A Ring,-22771.218750,562.937500,25296.187500,-178.482832
118,f5ea49c623aa798c687d5c5b167f34081ff6c1f6,0.999963,Oob Auf FG-Y f33,Oob Auf FG-Y f33 1,Oob Auf FG-Y f33 1 B Ring,-11016.000000,1340.312500,19932.875000,-151.611529
120,85b2c85fc1fa12c91649f2a0f6f05c80505bd338,0.999963,Myumba AA-A g172,Myumba AA-A g172 3,Myumba AA-A g172 3 B Ring,-8560.656250,-2414.156250,22468.093750,-158.212830
122,f92011f62d32ad4be1ce9428ad40cfe8706bf742,0.999963,Eol Prou AJ-J c9-127,Eol Prou AJ-J c9-127 3,Eol Prou AJ-J c9-127 3 B Ring,-9415.875000,-1094.593750,19844.500000,-147.324097
123,939a121f69a77fc0bb79afb5140e30df978fb189,0.999963,Ooscs Aob JN-H d11-571,Ooscs Aob JN-H d11-571 ABC 3,Ooscs Aob JN-H d11-571 ABC 3 B Ring,-9081.000000,1128.593750,17847.812500,-138.515341
126,684d720611486973ab0bd2cf094d9c8182c8f303,0.999962,Kyloall FG-Y f2512,Kyloall FG-Y f2512 3,Kyloall FG-Y f2512 3 B Ring,-8576.000000,-1005.531250,21303.000000,-151.877479
132,bcd55371c5c5298d4f619aab48682c29e5413885,0.999960,Hypaa Flyou IH-U d3-109,Hypaa Flyou IH-U d3-109 8,Hypaa Flyou IH-U d3-109 8 C Ring,-11055.250000,-729.375000,22356.812500,-162.267495
133,aaef2464522f29a61c38432c13e937c285741075,0.999960,Dryio Bluae FG-Y g33,Dryio Bluae FG-Y g33 3,Dryio Bluae FG-Y g33 3 C Ring,-5430.468750,-1114.718750,29139.468750,149.298837
138,0c4067c2f28bdd49c599c22361c4b11ef1aebb0f,0.999959,Pha Scroi YJ-A f209,Pha Scroi YJ-A f209 1,Pha Scroi YJ-A f209 1 A Ring,-9411.406250,1971.937500,23481.812500,-165.627101
141,63f505d7df671f936477d6cb9207532ada8403d3,0.999959,Dryooe Prou NW-L b8-64,Dryooe Prou NW-L b8-64 1,Dryooe Prou NW-L b8-64 1 A Ring,-9872.781250,-1113.625000,20888.843750,-153.147977
143,1ad7080ebcf5ae8e9eb500035342847faa61a371,0.999958,Aunaihm KX-U e2-688,Aunaihm KX-U e2-688 1,Aunaihm KX-U e2-688 1 C Ring,-9020.531250,1500.750000,21188.937500,-152.489477
151,e393ec9cb51b8253191f4619c705f598297ac222,0.999955,Plimbea DB-O e6-65,Plimbea DB-O e6-65 1,Plimbea DB-O e6-65 1 B Ring,-8066.687500,1698.156250,28363.812500,163.065426
152,0992b188a079bbe922d01d109490ec8765b81c91,0.999955,Dryio Bloo ZU-Y f64,Dryio Bloo ZU-Y f64 1,Dryio Bloo ZU-Y f64 1 B Ring,-5847.718750,-1330.562500,28833.781250,153.455684
161,34edfb5954047bde96c8ab7cf2ba722f509d9cf9,0.999954,Eorgh Prou AA-A h97,Eorgh Prou AA-A h97 B 2,Eorgh Prou AA-A h97 B 2 A Ring,-11027.218750,-394.000000,19727.437500,-150.817650
167,deb31d3bcc2f7400ce16e61ddbc7992c194e8673,0.999952,Eol Flyou FG-Y f635,Eol Flyou FG-Y f635 2,Eol Flyou FG-Y f635 2 C Ring,-9923.437500,-1155.625000,17410.781250,-139.525877
176,c0ab8f364e53093b020bb9c81faafa977b138138,0.999950,Brambue DL-Y g298,Brambue DL-Y g298 5,Brambue DL-Y g298 5 B Ring,-10396.968750,-1850.687500,18882.000000,-146.044932
177,c8111bdd346ad3deed58b976eb8f5808b130db5a,0.999949,Eol Flyou AZ-C c14-326,Eol Flyou AZ-C c14-326 5,Eol Flyou AZ-C c14-326 5 B Ring,-10223.343750,-564.250000,17479.312500,-140.592015
178,b5d0e95438a51a7306459f727d6a9c674923fa32,0.999949,Spoihee DL-Y g56,Spoihee DL-Y g56 B 2,Spoihee DL-Y g56 B 2 A Ring,-6864.625000,-1450.937500,20097.750000,-139.897900
180,3c3044f7f847b94f75430f3d26574cf25c573e56,0.999949,Dryooe Prou GG-Y f1387,Dryooe Prou GG-Y f1387 2,Dryooe Prou GG-Y f1387 2 B Ring,-9612.906250,-1017.906250,21020.250000,-153.147209
186,65936c6e04ae5753a853223e7851a370993300a8,0.999947,Theemae AA-A g218,Theemae AA-A g218 4,Theemae AA-A g218 4 B Ring,-3476.187500,1746.093750,23516.312500,-145.754097
188,7ae37291ce471a76c42db146d955876d9171337c,0.999946,Brambe YE-A g537,Brambe YE-A g537 2,Brambe YE-A g537 2 A Ring,-8408.156250,-1351.031250,18728.437500,-139.622992
192,1681171c44ccd5f37c4859af342483b42908c0df,0.999945,Aunaihn OS-U f2-2181,Aunaihn OS-U f2-2181 2,Aunaihn OS-U f2-2181 2 C Ring,-5588.312500,1392.562500,21781.625000,-143.734521
196,45400f3454204c95862ba53bb194e572157e3e47,0.999944,Dryi Audst GX-T e3-318,Dryi Audst GX-T e3-318 2,Dryi Audst GX-T e3-318 2 A Ring,-5109.531250,2077.093750,21461.250000,-139.158326
197,9a99341844878f6b04d1ecbec7926d329f51f2da,0.999944,Dumboe HW-W e1-914,Dumboe HW-W e1-914 1,Dumboe HW-W e1-914 1 C Ring,-9719.843750,347.093750,22296.625000,-159.707574
198,c796be5cce47eec7ef7ffb9ac1691040f600a30d,0.999944,Mylaifaa EG-Y g27,Mylaifaa EG-Y g27 A 1,Mylaifaa EG-Y g27 A 1 C Ring,-11277.343750,-916.718750,19074.718750,-148.873587
199,dfdd850ac132811a61b3ff3465af84b04289d4d4,0.999943,Floaln PL-B d14-21,Floaln PL-B d14-21 3,Floaln PL-B d14-21 3 C Ring,-12746.468750,-496.625000,15542.187500,-140.958103
215,01620fba6a65cc92eecd298e78affa3a9774d23e,0.999940,Juenoe MS-U f2-1919,Juenoe MS-U f2-1919 3,Juenoe MS-U f2-1919 3 B Ring,-8943.687500,-1067.062500,26826.937500,174.099226
220,528cc5f667bf03d93bd0fefb5216b408a07cdc2a,0.999939,Sphuqea MT-I c9-35,Sphuqea MT-I c9-35 A 10,Sphuqea MT-I c9-35 A 10 C Ring,-14057.031250,60.875000,35187.937500,146.593093
